idx,series,timepoint_hr,src,repair,dx,dy,ecc,q0x,q0y,q1x,q1y,q2x,q2y,q3x,q3y
177,COOH_L3,5.5,dots,kept,0.0,0.0,off,81.7214584350586,319.84930419921875,386.45147705078125,332.05908203125,378.7894592285156,628.3894653320312,74.05945587158203,616.1796875
191,COOH_L3,6.0,dots,kept,0.0,0.0,off,92.55796813964844,329.5652160644531,397.2033996582031,338.2923583984375,400.4249267578125,640.2907104492188,103.29279327392578,648.759033203125
6,COOH_S1,0.0,dots,kept,0.0,0.0,off,445.7049255371094,188.185791015625,679.4757080078125,180.88462829589844,699.5341186523438,445.4621276855469,465.7632751464844,452.7632751464844
14,COOH_S1,0.0,dots,kept,0.0,0.0,ref,453.24432373046875,163.08522033691406,690.3475341796875,160.17050170898438,706.5322875976562,424.7056579589844,469.42901611328125,427.620361328125
34,COOH_S1,0.5,dots,kept,0.0,0.0,off,426.9147644042969,177.55682373046875,661.093505859375,170.24581909179688,681.8538818359375,434.9178161621094,447.6751403808594,442.22882080078125
48,COOH_S1,1.0,dots,kept,0.0,0.0,off,426.8830261230469,172.70175170898438,660.5474853515625,164.78445434570312,681.3970947265625,428.75811767578125,447.7326965332031,436.6754150390625
62,COOH_S1,1.5,dots,repaired,0.0,0.0,off,449.6636962890625,187.08071899414062,689.9239501953125,183.06298828125,708.1761474609375,444.5660400390625,471.7017822265625,452.12628173828125
76,COOH_S1,2.0,dots,repaired,0.0,0.0,off,438.14227294921875,183.69338989257812,678.4025268554688,179.6756591796875,696.6547241210938,441.1787109375,460.18035888671875,448.73895263671875
90,COOH_S1,2.5,dots,kept,0.0,0.0,off,438.367919921875,201.50942993164062,684.553955078125,193.0386505126953,707.95654296875,451.65216064453125,461.7704772949219,460.1229553222656
104,COOH_S1,3.0,dots,kept,0.0,0.0,off,434.4444580078125,177.05555725097656,669.7601318359375,172.9678497314453,692.672119140625,443.7868957519531,457.3564453125,447.87457275390625
118,COOH_S1,3.5,dots,kept,0.0,0.0,off,445.7924499511719,169.85848999023438,686.2783813476562,165.38409423828125,707.9859008789062,432.6197204589844,467.5,437.0941162109375
132,COOH_S1,4.0,dots,repaired,0.0,0.0,off,458.44989013671875,171.36346435546875,698.7101440429688,167.34573364257812,716.9623413085938,428.84881591796875,480.48797607421875,436.4090576171875
146,COOH_S1,4.5,dots,repaired,0.0,0.0,off,446.7197265625,180.80706787109375,686.97998046875,176.78933715820312,705.232177734375,438.29241943359375,468.7578125,445.8526611328125
160,COOH_S1,5.0,dots,kept,0.0,0.0,off,432.0,216.67857360839844,663.8281860351562,212.2960205078125,687.0720825195312,474.4954833984375,455.243896484375,478.8780517578125
174,COOH_S1,5.5,dots,kept,0.0,0.0,off,440.3333435058594,193.93333435058594,681.3885498046875,179.51327514648438,704.7777709960938,447.5555419921875,463.7225646972656,461.9756164550781
188,COOH_S1,6.0,dots,kept,0.0,0.0,off,436.32000732421875,206.24000549316406,672.8529052734375,207.61032104492188,698.723388671875,459.4893493652344,462.19049072265625,458.1190490722656
7,COOH_S2,0.0,dots,kept,0.0,0.0,off,446.3673400878906,195.53060913085938,713.0777587890625,191.54429626464844,699.4855346679688,431.95867919921875,461.1615905761719,440.9049377441406
15,COOH_S2,0.0,dots,repaired,0.0,0.0,ref,442.85174560546875,187.25674438476562,690.4598388671875,179.33523559570312,685.4085693359375,423.98193359375,444.8279113769531,433.5774230957031
35,COOH_S2,0.5,dots,repaired,0.0,0.0,off,455.30694580078125,194.37677001953125,702.9150390625,186.45526123046875,697.86376953125,431.1019592285156,457.2831115722656,440.69744873046875
49,COOH_S2,1.0,dots,kept,0.0,0.0,off,439.1515197753906,172.03030395507812,704.809814453125,181.41717529296875,701.9498291015625,423.2920227050781,460.5831604003906,437.1683044433594
63,COOH_S2,1.5,dots,repaired,0.0,0.0,off,454.4783935546875,203.0006103515625,702.0865478515625,195.0791015625,697.03515625,439.7257995605469,456.4545593261719,449.3212890625
77,COOH_S2,2.0,dots,kept,0.0,0.0,off,451.4550476074219,212.5955047607422,692.701416015625,202.8333282470703,687.3360595703125,446.47772216796875,446.0896911621094,456.2398986816406
91,COOH_S2,2.5,dots,kept,0.0,0.0,off,446.0397644042969,209.9600830078125,689.7738037109375,199.63095092773438,685.6444702148438,445.80889892578125,441.910400390625,456.13800048828125
105,COOH_S2,3.0,dots,kept,0.0,0.0,off,435.2045593261719,207.2045440673828,701.8345336914062,202.6373291015625,695.0814208984375,447.0581359863281,453.6956481933594,454.69805908203125
119,COOH_S2,3.5,dots,kept,0.0,0.0,off,476.6004333496094,198.79498291015625,720.0423583984375,189.30084228515625,714.6871948242188,434.0837097167969,471.2452697753906,443.57781982421875
133,COOH_S2,4.0,dots,kept,0.0,0.0,off,442.6666564941406,195.2820587158203,708.5482788085938,189.9961395263672,701.207763671875,437.9264221191406,457.8457336425781,445.08538818359375
147,COOH_S2,4.5,dots,kept,0.0,0.0,off,454.3454284667969,202.9894256591797,698.453857421875,194.85609436035156,692.624267578125,444.4666748046875,448.5157775878906,452.6000061035156
161,COOH_S2,5.0,dots,kept,0.0,0.0,off,471.2862243652344,239.9124755859375,711.7346801757812,232.57142639160156,707.8010864257812,474.0,467.35260009765625,481.3410339355469
175,COOH_S2,5.5,dots,kept,0.0,0.0,off,457.3985290527344,210.94064331054688,698.1595458984375,202.63475036621094,693.2578735351562,447.0125732421875,452.496826171875,455.3184814453125
