geometry,series,coating,arm,t,centroid_mag,d90_mag,nav_index
colour,PEG_control,PEG,control,5.0,0.7907436056374058,2.017980324360604,0.12346344286453598
colour,COOH_control,COOH,control,5.0,0.8407046233063817,1.796157138911903,-0.32766918467574835
colour,PEG_S3,PEG,small,5.0,0.8824100492195168,2.0158298416914513,0.7243134205934356
colour,PEG_L1,PEG,large,5.5,2.067589822166318,3.604866619528187,0.7433456853272151
colour,PEG_L2,PEG,large,5.5,1.6456865898933013,3.036071306297352,0.654409280568945
colour,PEG_S1,PEG,small,5.5,1.2790712909935527,2.952706084839011,0.7079168090844707
colour,PEG_S2,PEG,small,5.5,1.5272304936179328,3.2989481016774316,0.739547777213494
colour,COOH_L1,COOH,large,5.5,1.8031326346665488,3.3442606548856553,0.8147299863666071
colour,COOH_L2,COOH,large,5.5,1.7729989062635552,3.3328801445567677,0.29353894261707436
colour,COOH_S1,COOH,small,5.5,1.1774882227726915,2.4472244494635804,0.5323454853334822
colour,COOH_S2,COOH,small,5.5,1.375318637555138,2.962058350328575,0.7686898236852762
colour,COOH_L3,COOH,large,5.5,1.6036916010384732,3.108798301970305,0.9196482060631951
colour,COOH_S3,COOH,small,5.5,1.0942777289890078,2.3951097373969716,0.7948328032740867
colour,PEG_S3,PEG,small,5.5,0.8954019351874715,2.0114678850686976,0.6525571097875508
colour,PEG_control,PEG,control,5.5,0.8301251066491709,2.0862826190164365,0.0665673952236407
colour,COOH_control,COOH,control,5.5,0.7798580137631237,1.706157927279669,-0.28188475848990074
colour,PEG_L1,PEG,large,6.0,2.059716336531267,3.6010094663383647,0.7301344024727859
colour,PEG_L2,PEG,large,6.0,1.931084264917508,3.595692736056336,0.8904400506018547
colour,PEG_S1,PEG,small,6.0,1.2851559033418694,3.1137735208804407,-0.004131544109573859
colour,PEG_S2,PEG,small,6.0,1.5087011030573614,3.269076108081536,0.7630957738870551
colour,COOH_L1,COOH,large,6.0,1.799683945038301,3.3437212503408187,0.8040648825924542
colour,COOH_L2,COOH,large,6.0,1.7322836587069532,3.2867963755581653,0.7806237458622496
colour,COOH_S1,COOH,small,6.0,1.2477423078668792,2.486360360360361,0.5945740798518139
colour,COOH_S2,COOH,small,6.0,1.3164136163257723,2.9814213912344196,0.6444843680892862
colour,PEG_L3,PEG,large,6.0,1.6864621474026542,3.2112023409027195,0.8740743961037374
colour,COOH_L3,COOH,large,6.0,1.5704215115104663,3.0921207573176543,0.9260099935543261
colour,COOH_S3,COOH,small,6.0,1.1537624137841875,2.493602813572366,0.7376365157401152
colour,PEG_S3,PEG,small,6.0,0.9294959157101682,2.0259984064686427,0.6750445094486243
colour,COOH_control,COOH,control,6.0,0.7940805046774948,1.7248832138214454,-0.3015371856035087
colour,PEG_control,PEG,control,6.0,0.9964426553848444,2.1174693676453793,-0.21623555202324307
corners,PEG_L1,PEG,large,0.0,1.256438089833839,2.476935640146439,0.0050905073264685295
corners,PEG_L2,PEG,large,0.0,1.201453717818114,2.5739045935822285,0.08533317310893425
corners,PEG_S1,PEG,small,0.0,0.6211840391472048,1.785589938290783,0.39997069787444545
corners,PEG_S2,PEG,small,0.0,1.2365134792560963,2.6340262542050614,0.22481187677416875
corners,COOH_L1,COOH,large,0.0,0.8215020514400985,2.012643706157444,0.44127396446278583
corners,COOH_L2,COOH,large,0.0,0.8491535104936422,1.9990147610457294,0.2191318399873169
corners,COOH_S1,COOH,small,0.0,0.883488247926203,1.8643304160491283,0.26313907345020676
corners,COOH_S2,COOH,small,0.0,0.8274171536842769,2.1045100007201243,0.4402040211715019
corners,PEG_L1,PEG,large,0.0,1.4662975257801483,4.130582314910359,0.3282188107038571
corners,PEG_L2,PEG,large,0.0,1.492054843859423,3.3653842111134,0.48031860253232506
corners,PEG_S1,PEG,small,0.0,1.0259186435609893,2.1812275780244534,0.08462364190493443
corners,PEG_S2,PEG,small,0.0,1.5205265679669764,3.9979903751046186,0.34357533912208893
corners,COOH_L1,COOH,large,0.0,1.3819845784111076,3.8449601500234416,0.4989405513029223
corners,COOH_L2,COOH,large,0.0,1.3247154301428692,4.023813780372801,0.257510216837574
corners,COOH_S1,COOH,small,0.0,0.8661181539780908,1.834033645735038,0.39088268998047876
corners,COOH_S2,COOH,small,0.0,1.1524642990190905,2.4077730078947543,0.22537097452502536
corners,PEG_L3,PEG,large,0.0,1.1026681404197596,2.3017731618441943,0.15474344860588304
corners,PEG_S3,PEG,small,0.0,0.9898687690420758,1.9775140033819492,0.19353374523509465
corners,COOH_L3,COOH,large,0.0,1.166871746005614,2.3321557884643913,0.12741610083002053
corners,COOH_S3,COOH,small,0.0,1.0311823068709336,2.1277629222595995,0.15420710170694044
corners,PEG_control,PEG,control,0.0,1.290325067046074,2.620911004042754,0.15366377138079745
corners,COOH_control,COOH,control,0.0,0.9595107118804704,2.060523830395626,-0.059177307055647464
corners,PEG_L3,PEG,large,0.0,1.5179283863180482,3.1787803405405066,0.5605852818541109
corners,PEG_S3,PEG,small,0.0,0.994152603308767,2.058627691133272,0.22956524363213052
corners,COOH_L3,COOH,large,0.0,1.5847493740911842,3.3242800693766466,0.40002436018356385
corners,COOH_S3,COOH,small,0.0,1.0378427313547303,2.177463361269343,0.16694463032361898
corners,PEG_control,PEG,control,0.0,1.2390723951415012,2.5433726677144324,0.05861342641775568
corners,COOH_control,COOH,control,0.0,0.8688410377894771,1.9341360733321085,-0.08676590937534023
corners,PEG_L1,PEG,large,0.5,1.5998462315403483,3.99812489481302,0.729135701115126
corners,PEG_L2,PEG,large,0.5,1.3635264285155142,3.454776506121892,0.7344224396795193
