day,agarose,arm,coating,series,t,front_right,front_left,front,wall_mm,front_thr15,front_thr20,front_thr25,front_thr30,front_thr35,centroid,d90,gap_mm
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,0.5,0.0,0.0,0.0,4.520833333333334,0.0,0.0,0.0,0.0,0.0,0.29162038169955923,0.4738886092342742,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,1.0,0.9375000000000001,0.0,0.9375000000000001,4.520833333333334,1.0416666666666667,1.0,0.9375000000000001,0.8958333333333335,0.8333333333333335,0.6289651547284654,0.9938061549224291,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,1.5,1.2083333333333335,0.0,1.2083333333333335,4.520833333333334,1.3750000000000002,1.2916666666666667,1.2083333333333335,1.1458333333333335,1.0625000000000002,0.8853300603355014,1.4746136290500147,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,2.0,1.4791666666666667,0.0,1.4791666666666667,4.520833333333334,1.791666666666667,1.6458333333333335,1.4791666666666667,1.2916666666666667,0.0,1.1800916693729437,2.26946503403338,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,2.5,1.1041666666666667,0.0,1.1041666666666667,4.520833333333334,2.3125000000000004,1.979166666666667,1.1041666666666667,0.0,0.0,1.5263442665267797,3.139522451983144,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,3.0,0.0,0.0,0.0,4.520833333333334,2.5625000000000004,1.916666666666667,0.0,0.0,0.0,1.6316650191906688,3.3246983022665626,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,3.5,0.0,0.0,0.0,4.520833333333334,2.6250000000000004,1.3750000000000002,0.0,0.0,0.0,1.6804067287634048,3.400169132781856,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,4.0,0.0,0.0,0.0,4.520833333333334,1.979166666666667,1.1875000000000002,0.0,0.0,0.0,1.650702478880468,3.424355098278179,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,4.5,0.0,0.0,0.0,4.520833333333334,1.9375000000000002,1.1666666666666667,0.0,0.0,0.0,1.6554621293155474,3.418008082440131,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,5.0,0.7083333333333334,0.0,0.7083333333333334,4.520833333333334,2.9375000000000004,1.5625000000000002,0.7083333333333334,0.6458333333333334,0.6041666666666667,1.777634540014358,3.572022137810735,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,5.5,0.6875000000000001,0.0,0.6875000000000001,4.520833333333334,2.9583333333333335,1.6041666666666667,0.6875000000000001,0.6250000000000001,0.6041666666666667,1.7734322892885142,3.571646232761521,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,6.0,0.6875000000000001,0.0,0.6875000000000001,4.520833333333334,2.541666666666667,1.4583333333333335,0.6875000000000001,0.6458333333333334,0.6041666666666667,1.7060387746089585,3.386600964928818,0.6041666666666667
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,0.0,0.0,0.0,0.0,4.604166666666667,0.0,0.0,0.0,0.0,0.0,,,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,0.5,0.0,0.0,0.0,4.604166666666667,1.1666666666666667,1.1250000000000002,0.0,0.0,0.0,1.3414097356742558,3.685587819036654,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,1.0,1.4166666666666667,0.0,1.4166666666666667,4.604166666666667,1.5000000000000002,1.4583333333333335,1.4166666666666667,1.3750000000000002,1.3333333333333335,1.4993468244847887,3.5153163605643702,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,1.5,1.7500000000000002,0.0,1.7500000000000002,4.604166666666667,1.9375000000000002,1.8333333333333335,1.7500000000000002,1.6875000000000002,1.6250000000000002,1.603529860216329,3.422684726043467,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,2.0,2.3125000000000004,0.0,2.3125000000000004,4.604166666666667,2.7708333333333335,2.479166666666667,2.3125000000000004,2.1875000000000004,2.104166666666667,1.8191617442197,3.562202577494948,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,2.5,3.2500000000000004,0.0,3.2500000000000004,4.604166666666667,4.562500000000001,4.333333333333334,3.2500000000000004,3.0000000000000004,2.791666666666667,2.2226821246245345,3.8531780741251414,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,3.0,4.312500000000001,0.0,4.312500000000001,4.604166666666667,4.583333333333334,4.520833333333334,4.312500000000001,3.6250000000000004,3.229166666666667,2.3836711981823,3.9272948255114324,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,3.5,4.562500000000001,0.0,4.562500000000001,4.604166666666667,4.604166666666667,4.583333333333334,4.562500000000001,4.520833333333334,4.0,2.4833600211863898,4.0275563287200615,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,4.0,4.583333333333334,0.0,4.583333333333334,4.604166666666667,4.604166666666667,4.604166666666667,4.583333333333334,4.562500000000001,4.541666666666667,2.5457238625264953,4.0926151249140075,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,4.5,4.604166666666667,0.0,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.583333333333334,4.541666666666667,2.5852089050744063,4.121666128112953,0.6250000000000001
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,5.0,4.604166666666667,0.0,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.604166666666667,4.583333333333334,4.562500000000001,2.6503665966723386,4.159521632097214,0.6250000000000001
