series,n_frames,v_front_mm_h,r2_front,v_centroid_mm_h,r2_centroid,final_front_mm,final_centroid_mm
0.6_BSA_COOH_magnet_r2,14,0.015230225536245503,0.09651063489652212,-0.013543814060316755,0.01317477698148517,1.4291666666666667,4.905622036862821
0.6_BSA_COOH_magnet_r3,13,-0.05169241168795819,0.14286947675326822,0.0043463431249802925,0.0008073667715033928,1.1770833333333335,4.690727702397295
0.6_BSA_PEG_control_r1,12,0.015433868740365009,0.043457413269161305,-0.007942028382608261,0.0028064958926207195,1.5208333333333335,1.8670740962098407
0.6_BSA_PEG_control_r2,11,-0.03739627389289748,0.11883186386410449,0.0290044461247322,0.061610389791533104,2.4833333333333334,2.481676362798144
0.6_BSA_PEG_control_r3,12,-0.03939057185120377,0.19148189517556924,-0.03783305728415872,0.19461698487246637,2.4604166666666667,1.9496330059605205
0.6_BSA_PEG_magnet_r1,13,-0.15563833110768754,0.16711325526960408,-0.0509157142070427,0.10868559380068687,1.7729166666666667,4.956402620997042
0.6_BSA_PEG_magnet_r2,14,-0.03933176118394619,0.18815298579861628,-0.13154576551077515,0.13851242770048144,1.40625,4.592075968783313
0.6_BSA_PEG_magnet_r3,12,-0.12659142778762028,0.13003625779485106,-0.013155781978091545,0.005749694340148714,1.5208333333333335,4.202701935385798
0.6_non-BSA_COOH_control_r1,12,0.023797896716318188,0.06631904875900851,-0.06489585672906201,0.6805193341540275,2.9875,2.257806604757585
0.6_non-BSA_COOH_control_r2,12,-0.01736412771757935,0.0032918083245977448,0.01066456595053968,0.014099717878260698,4.797916666666667,3.547174214584801
0.6_non-BSA_COOH_control_r3,12,-0.017244194603562787,0.09754944725680192,-0.012159924219724312,0.043216468981219336,2.3,1.7915310139345373
0.6_non-BSA_COOH_magnet_r1,13,-0.045742922481080306,0.031358264455748075,-0.10425465043232461,0.14943007850182188,3.5145833333333334,2.739775269399892
0.6_non-BSA_COOH_magnet_r2,13,-0.02744145462879309,0.11126470846535774,-0.11341359509849085,0.31374422036207383,1.5437500000000002,2.002573354107214
0.6_non-BSA_COOH_magnet_r3,13,-0.005637681301529018,0.009486251204358198,-0.061520620477345564,0.07673467158388236,2.277083333333333,4.770071058239154
0.6_non-BSA_PEG_control_r1,12,0.026965353594334083,0.038911434129606515,-0.07348413595088346,0.4904259237989971,2.1166666666666667,1.277842225646396
0.6_non-BSA_PEG_control_r2,12,0.029555630642672286,0.06752414442528454,-0.023843159977289953,0.02174880238375665,2.185416666666667,1.5380250768735997
0.6_non-BSA_PEG_control_r3,12,-0.000691889729109972,2.2275532768678552e-05,-0.004670927685981975,0.004941839648442969,2.3229166666666665,1.9734717145295235
0.6_non-BSA_PEG_magnet_r1,13,0.022627475460041204,0.07235360827218495,-0.07588158112543436,0.15143007895418303,1.3604166666666666,4.604665605880547
0.6_non-BSA_PEG_magnet_r2,13,-0.031174456080678845,0.21967064653254276,-0.07975370626224325,0.20789493399572778,1.4520833333333334,5.090670613273045
0.6_non-BSA_PEG_magnet_r3,13,-0.057582859858634615,0.34502839385523687,-0.05094675870893701,0.15341100753109382,0.8333333333333333,5.5569106905060925
