idx,front_px,centroid_px,mass,n_px
281,259.0,210.80700875799093,10712.66015625,436
282,58.0,100.13878662790783,2982.1201171875,436
283,176.0,150.28734278445125,7906.98828125,436
284,187.0,121.78780910045558,8780.904296875,436
285,308.0,149.72687970214326,13877.611328125,436
286,18.0,118.29464930505034,9550.65625,436
287,361.0,154.72556836143534,15793.30078125,436
288,379.0,208.61986026492954,9952.330078125,436
289,209.0,207.55561978464314,9921.19140625,436
290,226.0,186.0792328533956,11229.658203125,436
291,383.0,206.65527033357316,12982.443359375,436
292,13.0,199.6150566084435,12103.212890625,436
293,273.0,192.22469004260077,10808.015625,436
294,81.0,108.3187301804451,4407.40234375,436
295,17.0,143.6890412191371,13614.94140625,436
296,135.0,91.18977631252713,8138.41064453125,436
297,182.0,122.20508207494953,10403.150390625,436
298,12.0,166.90648003155752,16322.3427734375,436
299,271.0,160.4500448604412,15497.841796875,436
300,86.0,177.3475076796344,10005.076171875,436
301,24.0,118.37437969287261,9712.3056640625,436
302,14.0,102.76188354468323,7455.60107421875,436
303,82.0,156.75856601748595,4521.11376953125,436
304,25.0,145.03137297467424,16218.7646484375,436
305,17.0,172.28594903450784,13128.873046875,436
306,13.0,154.85648394342692,13735.888671875,436
307,83.0,173.1566605984328,5861.65869140625,436
308,96.0,180.84855253774575,9565.2490234375,436
309,78.0,198.7407199305884,7487.7626953125,436
310,130.0,98.80785718622728,6429.89111328125,436
311,87.0,90.46166597309593,4397.1337890625,436
312,19.0,152.50607188775248,14304.328125,436
313,84.0,68.2352261804435,3942.480712890625,436
314,3.0,101.76555218232708,6490.37890625,436
315,131.0,149.79744511618466,10138.1015625,436
316,17.0,134.88119056185687,12592.3984375,436
317,86.0,157.31399944313904,13489.5341796875,436
318,84.0,181.6979352052944,6721.072265625,436
319,81.0,149.8225641096222,4371.99609375,436
320,22.0,155.27628070409128,11942.138671875,436
321,84.0,178.35594384911852,4655.970703125,436
322,78.0,186.51580857081018,6490.8583984375,436
323,79.0,89.29003716382724,4846.04296875,436
324,376.0,175.10079148632616,13160.95703125,436
325,12.0,162.4411155577498,16374.712890625,436
326,13.0,158.01255833314684,16870.53515625,436
327,180.0,164.15805977508467,13074.9990234375,436
328,22.0,146.02061909783825,15879.046875,436
329,24.0,131.4768778904772,15778.9423828125,436
330,169.0,200.97172491693496,7556.2607421875,436
331,15.0,154.40490161979145,8229.1787109375,436
332,251.0,208.36399336353,10473.451171875,436
333,192.0,210.93236503521993,6246.9130859375,436
334,232.0,233.46499349864663,6479.6689453125,436
335,147.0,169.6173655332499,5839.146484375,436
336,73.0,106.42675099894888,4081.8662109375,436
