idx,path,status,n_red_boxes
177,0.4 BACK/NON-BSA/1 hr/PXL_20260827_123024008.jpg,ok,2
178,0.4 BACK/NON-BSA/1 hr/PXL_20260827_123037269.jpg,ok,3
179,0.4 BACK/NON-BSA/1 hr/PXL_20260827_123050149.jpg,ok,4
180,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_130235088.jpg,ok,6
181,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_130248752.jpg,ok,5
182,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_130304256.jpg,ok,9
183,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_130347736.jpg,ok,6
184,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_130402083.jpg,ok,6
185,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_130411918.jpg,ok,7
186,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_131147754.jpg,ok,2
187,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_131159395.jpg,ok,3
188,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_131210175.jpg,ok,2
189,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_131246105.jpg,ok,2
190,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_131300819.jpg,ok,3
191,0.4 BACK/NON-BSA/2 hrs/PXL_20260827_131317699.jpg,ok,4
192,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_140347293.jpg,ok,4
193,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_140411381.jpg,ok,7
194,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_140429778.jpg,ok,7
195,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_140510028.jpg,ok,6
196,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_140524052.jpg,ok,4
197,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_140546913.jpg,ok,6
198,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_141418132.jpg,ok,2
199,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_141432809.jpg,ok,3
200,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_141452211.jpg,ok,2
201,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_141529962.jpg,ok,2
202,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_141553992.jpg,ok,3
203,0.4 BACK/NON-BSA/3 hrs/PXL_20260827_141611900.jpg,ok,4
204,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_150147330.jpg,ok,6
205,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_150204790.jpg,ok,7
206,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_150216136.jpg,ok,8
207,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_150239457.jpg,ok,7
208,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_150248732.jpg,ok,5
209,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_150258576.jpg,ok,7
210,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_151227412.jpg,ok,8
211,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_151249426.jpg,ok,9
212,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_151309212.jpg,ok,7
213,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_151351770.jpg,ok,9
214,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_151410950.jpg,ok,10
215,0.4 BACK/NON-BSA/4 hrs/PXL_20260827_151428327.jpg,ok,10
216,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_160318612.jpg,ok,4
217,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_160341708.jpg,ok,6
218,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_160353469.jpg,ok,8
219,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_160422535.jpg,ok,6
220,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_160442372.jpg,ok,5
221,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_160504640.jpg,ok,6
222,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_161607611.jpg,ok,8
223,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_161640724.jpg,ok,8
224,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_161701068.jpg,ok,8
225,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_161739748.jpg,ok,8
226,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_161808896.jpg,ok,9
227,0.4 BACK/NON-BSA/5 hrs/PXL_20260827_161955201.jpg,ok,10
228,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_170217290.jpg,ok,4
229,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_170227014.jpg,ok,6
230,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_170244858.jpg,ok,7
231,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_170322668.jpg,ok,6
232,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_170334693.jpg,ok,5
233,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_170347700.jpg,ok,8
234,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_171311387.jpg,ok,8
235,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_171345305.jpg,ok,8
236,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_171403935.jpg,ok,9
237,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_171511697.jpg,ok,8
238,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_171534992.jpg,ok,9
239,0.4 BACK/NON-BSA/6 hrs/PXL_20260827_171554256.jpg,ok,10
