series,coating,arm,t,right,left
PEG_S3,PEG,small,3.5,12.072539329528809,4.39391565322876
COOH_L3,COOH,large,3.5,35.31808853149414,2.4779417514801025
COOH_S3,COOH,small,3.5,12.614856719970703,5.160011291503906
PEG_control,PEG,control,3.5,5.809030055999756,7.511821746826172
COOH_control,COOH,control,3.5,5.604062557220459,10.20987606048584
PEG_L1,PEG,large,4.0,47.01862716674805,3.1617367267608643
PEG_L2,PEG,large,4.0,53.87016296386719,5.336370944976807
PEG_S1,PEG,small,4.0,19.7626953125,8.459336280822754
PEG_S2,PEG,small,4.0,10.72227668762207,6.513227462768555
COOH_L1,COOH,large,4.0,42.78003692626953,4.262035369873047
COOH_L2,COOH,large,4.0,25.048864364624023,37.049957275390625
COOH_S1,COOH,small,4.0,30.486980438232422,7.808797359466553
COOH_S2,COOH,small,4.0,32.50542449951172,7.8133463859558105
PEG_L3,PEG,large,4.0,25.52773666381836,3.0524849891662598
PEG_S3,PEG,small,4.0,29.179563522338867,7.071765899658203
COOH_L3,COOH,large,4.0,34.09795379638672,2.2696502208709717
COOH_S3,COOH,small,4.0,15.064668655395508,5.237123012542725
PEG_control,PEG,control,4.0,6.314625263214111,7.305988788604736
COOH_control,COOH,control,4.0,5.196683883666992,8.310324668884277
PEG_L1,PEG,large,4.5,43.01974868774414,8.62234878540039
PEG_L2,PEG,large,4.5,45.24753189086914,4.944876670837402
PEG_S1,PEG,small,4.5,23.893531799316406,7.508897304534912
PEG_S2,PEG,small,4.5,10.931891441345215,6.679736614227295
COOH_L1,COOH,large,4.5,45.91860580444336,5.469610691070557
COOH_L2,COOH,large,4.5,44.21428680419922,6.567854881286621
COOH_S1,COOH,small,4.5,31.055513381958008,8.339712142944336
COOH_S2,COOH,small,4.5,30.30908966064453,7.732860565185547
PEG_L3,PEG,large,4.5,25.157873153686523,2.4549639225006104
PEG_S3,PEG,small,4.5,14.316797256469727,4.846416473388672
COOH_L3,COOH,large,4.5,33.10307693481445,1.6656925678253174
COOH_S3,COOH,small,4.5,17.414697647094727,4.081993579864502
PEG_control,PEG,control,4.5,6.557476043701172,7.216691017150879
COOH_control,COOH,control,4.5,4.977785587310791,7.468559265136719
PEG_L1,PEG,large,5.0,16.265357971191406,16.397157669067383
PEG_L2,PEG,large,5.0,52.53499984741211,5.481742858886719
PEG_S1,PEG,small,5.0,25.05706214904785,5.813453674316406
PEG_S2,PEG,small,5.0,17.958805084228516,7.646542072296143
COOH_L1,COOH,large,5.0,46.635807037353516,4.23310661315918
COOH_L2,COOH,large,5.0,20.546552658081055,5.082322597503662
COOH_S1,COOH,small,5.0,34.59303283691406,8.573064804077148
COOH_S2,COOH,small,5.0,39.50278854370117,6.066962718963623
PEG_L3,PEG,large,5.0,25.934335708618164,2.599379777908325
COOH_L3,COOH,large,5.0,34.22447967529297,1.928402304649353
COOH_S3,COOH,small,5.0,20.370521545410156,3.256561040878296
PEG_control,PEG,control,5.0,5.666741847991943,6.5337443351745605
COOH_control,COOH,control,5.0,5.225229740142822,8.073007583618164
PEG_S3,PEG,small,5.0,15.856502532958984,4.3493852615356445
PEG_L1,PEG,large,5.5,16.996509552001953,15.618902206420898
PEG_L2,PEG,large,5.5,45.795074462890625,4.626499176025391
PEG_S1,PEG,small,5.5,25.02135467529297,5.570471286773682
PEG_S2,PEG,small,5.5,9.099218368530273,8.126846313476562
COOH_L1,COOH,large,5.5,47.26100540161133,5.325489044189453
COOH_L2,COOH,large,5.5,12.84735107421875,7.310168743133545
COOH_S1,COOH,small,5.5,33.68172836303711,8.558171272277832
COOH_S2,COOH,small,5.5,37.32795715332031,8.155584335327148
PEG_L3,PEG,large,5.5,25.606016159057617,2.9369635581970215
COOH_L3,COOH,large,5.5,33.8382568359375,2.67246150970459
COOH_S3,COOH,small,5.5,22.263778686523438,3.4726221561431885
PEG_S3,PEG,small,5.5,18.998701095581055,4.955333232879639
PEG_control,PEG,control,5.5,6.037790775299072,7.606869697570801
COOH_control,COOH,control,5.5,4.495535373687744,8.279741287231445
PEG_L1,PEG,large,6.0,14.843974113464355,15.601898193359375
PEG_L2,PEG,large,6.0,46.45487976074219,4.5885515213012695
PEG_S1,PEG,small,6.0,27.426483154296875,5.961007595062256
PEG_S2,PEG,small,6.0,9.383156776428223,7.290029525756836
COOH_L1,COOH,large,6.0,51.28742980957031,4.249383449554443
COOH_L2,COOH,large,6.0,21.37974739074707,6.359005928039551
COOH_S1,COOH,small,6.0,35.04380416870117,9.005913734436035
COOH_S2,COOH,small,6.0,37.87397003173828,6.928112506866455
PEG_L3,PEG,large,6.0,26.128271102905273,2.9800703525543213
COOH_L3,COOH,large,6.0,34.45795822143555,1.9710519313812256
COOH_S3,COOH,small,6.0,22.424087524414062,3.3832972049713135
PEG_S3,PEG,small,6.0,18.55155372619629,3.5103094577789307
COOH_control,COOH,control,6.0,4.735982418060303,9.41051959991455
PEG_control,PEG,control,6.0,5.996671199798584,7.080766677856445
