path,geometry,timepoint_hr,capture_time,shot_order,gap_s
0.6 CENTER/2.5 hrs/PXL_20260826_175332943.jpg,0.6 CENTER,2.5,2026-08-26 17:53:32.943,8,41.465
0.6 CENTER/2.5 hrs/PXL_20260826_175432703.jpg,0.6 CENTER,2.5,2026-08-26 17:54:32.703,9,59.76
0.6 CENTER/2.5 hrs/PXL_20260826_175515504.jpg,0.6 CENTER,2.5,2026-08-26 17:55:15.504,10,42.801
0.6 CENTER/2.5 hrs/PXL_20260826_175557361.jpg,0.6 CENTER,2.5,2026-08-26 17:55:57.361,11,41.857
0.6 CENTER/2.5 hrs/PXL_20260826_175750917.jpg,0.6 CENTER,2.5,2026-08-26 17:57:50.917,12,113.556
0.6 CENTER/2.5 hrs/PXL_20260826_175836441.jpg,0.6 CENTER,2.5,2026-08-26 17:58:36.441,13,45.524
0.6 CENTER/2.5 hrs/PXL_20260826_180358557.jpg,0.6 CENTER,2.5,2026-08-26 18:03:58.557,14,322.116
0.6 CENTER/2.5 hrs/PXL_20260826_180439064.jpg,0.6 CENTER,2.5,2026-08-26 18:04:39.064,15,40.507
0.6 CENTER/2.5 hrs/PXL_20260826_180515007.jpg,0.6 CENTER,2.5,2026-08-26 18:05:15.007,16,35.943
0.6 CENTER/2.5 hrs/PXL_20260826_180541433.jpg,0.6 CENTER,2.5,2026-08-26 18:05:41.433,17,26.426
0.6 CENTER/3 hrs/PXL_20260826_181300941.jpg,0.6 CENTER,3.0,2026-08-26 18:13:00.941,1,
0.6 CENTER/3 hrs/PXL_20260826_181326307.jpg,0.6 CENTER,3.0,2026-08-26 18:13:26.307,2,25.366
0.6 CENTER/3 hrs/PXL_20260826_181346650.jpg,0.6 CENTER,3.0,2026-08-26 18:13:46.650,3,20.343
0.6 CENTER/3 hrs/PXL_20260826_181409034.jpg,0.6 CENTER,3.0,2026-08-26 18:14:09.034,4,22.384
0.6 CENTER/3 hrs/PXL_20260826_181431137.jpg,0.6 CENTER,3.0,2026-08-26 18:14:31.137,5,22.103
0.6 CENTER/3 hrs/PXL_20260826_181500160.jpg,0.6 CENTER,3.0,2026-08-26 18:15:00.160,6,29.023
0.6 CENTER/3 hrs/PXL_20260826_181525861.jpg,0.6 CENTER,3.0,2026-08-26 18:15:25.861,7,25.701
0.6 CENTER/3 hrs/PXL_20260826_181544465.jpg,0.6 CENTER,3.0,2026-08-26 18:15:44.465,8,18.604
0.6 CENTER/3 hrs/PXL_20260826_181631408.jpg,0.6 CENTER,3.0,2026-08-26 18:16:31.408,9,46.943
0.6 CENTER/3 hrs/PXL_20260826_181722313.jpg,0.6 CENTER,3.0,2026-08-26 18:17:22.313,10,50.905
0.6 CENTER/3 hrs/PXL_20260826_181746855.jpg,0.6 CENTER,3.0,2026-08-26 18:17:46.855,11,24.542
0.6 CENTER/3 hrs/PXL_20260826_181812179.jpg,0.6 CENTER,3.0,2026-08-26 18:18:12.179,12,25.324
0.6 CENTER/3 hrs/PXL_20260826_182037197.jpg,0.6 CENTER,3.0,2026-08-26 18:20:37.197,13,145.018
0.6 CENTER/3 hrs/PXL_20260826_182109829.jpg,0.6 CENTER,3.0,2026-08-26 18:21:09.829,14,32.632
0.6 CENTER/3 hrs/PXL_20260826_182132801.jpg,0.6 CENTER,3.0,2026-08-26 18:21:32.801,15,22.972
0.6 CENTER/3 hrs/PXL_20260826_182159108.jpg,0.6 CENTER,3.0,2026-08-26 18:21:59.108,16,26.307
0.6 CENTER/3.5 hrs/PXL_20260826_183920827.jpg,0.6 CENTER,3.5,2026-08-26 18:39:20.827,1,
0.6 CENTER/3.5 hrs/PXL_20260826_183950969.jpg,0.6 CENTER,3.5,2026-08-26 18:39:50.969,2,30.142
0.6 CENTER/3.5 hrs/PXL_20260826_184006708.jpg,0.6 CENTER,3.5,2026-08-26 18:40:06.708,3,15.739
0.6 CENTER/3.5 hrs/PXL_20260826_184026617.jpg,0.6 CENTER,3.5,2026-08-26 18:40:26.617,4,19.909
0.6 CENTER/3.5 hrs/PXL_20260826_184052578.jpg,0.6 CENTER,3.5,2026-08-26 18:40:52.578,5,25.961
0.6 CENTER/3.5 hrs/PXL_20260826_184114875.jpg,0.6 CENTER,3.5,2026-08-26 18:41:14.875,6,22.297
0.6 CENTER/3.5 hrs/PXL_20260826_184153179.jpg,0.6 CENTER,3.5,2026-08-26 18:41:53.179,7,38.304
0.6 CENTER/3.5 hrs/PXL_20260826_184217135.jpg,0.6 CENTER,3.5,2026-08-26 18:42:17.135,8,23.956
0.6 CENTER/3.5 hrs/PXL_20260826_184248346.jpg,0.6 CENTER,3.5,2026-08-26 18:42:48.346,9,31.211
0.6 CENTER/3.5 hrs/PXL_20260826_184319926.jpg,0.6 CENTER,3.5,2026-08-26 18:43:19.926,10,31.58
0.6 CENTER/3.5 hrs/PXL_20260826_184349008.jpg,0.6 CENTER,3.5,2026-08-26 18:43:49.008,11,29.082
0.6 CENTER/3.5 hrs/PXL_20260826_184415416.jpg,0.6 CENTER,3.5,2026-08-26 18:44:15.416,12,26.408
0.6 CENTER/3.5 hrs/PXL_20260826_184645047.jpg,0.6 CENTER,3.5,2026-08-26 18:46:45.047,13,149.631
0.6 CENTER/3.5 hrs/PXL_20260826_184711323.jpg,0.6 CENTER,3.5,2026-08-26 18:47:11.323,14,26.276
0.6 CENTER/3.5 hrs/PXL_20260826_184736725.jpg,0.6 CENTER,3.5,2026-08-26 18:47:36.725,15,25.402
0.6 CENTER/3.5 hrs/PXL_20260826_184753091.jpg,0.6 CENTER,3.5,2026-08-26 18:47:53.091,16,16.366
0.6 CENTER/4 hrs/PXL_20260826_190958574.jpg,0.6 CENTER,4.0,2026-08-26 19:09:58.574,1,
0.6 CENTER/4 hrs/PXL_20260826_191029940.jpg,0.6 CENTER,4.0,2026-08-26 19:10:29.940,2,31.366
0.6 CENTER/4 hrs/PXL_20260826_191437366.jpg,0.6 CENTER,4.0,2026-08-26 19:14:37.366,3,247.426
0.6 CENTER/4 hrs/PXL_20260826_191500022.jpg,0.6 CENTER,4.0,2026-08-26 19:15:00.022,4,22.656
0.6 CENTER/4 hrs/PXL_20260826_191526286.jpg,0.6 CENTER,4.0,2026-08-26 19:15:26.286,5,26.264
