idx,path,status
153,4.5 hrs /PXL_20260825_230942641.jpg,ok
154,5 hrs/PXL_20260823_201208958.jpg,ok
155,5 hrs/PXL_20260823_201245183.jpg,ok
156,5 hrs/PXL_20260823_201345739.jpg,ok
157,5 hrs/PXL_20260823_201454726.jpg,ok
158,5 hrs/PXL_20260823_201541954.jpg,ok
159,5 hrs/PXL_20260823_201621378.jpg,ok
160,5 hrs/PXL_20260823_201720651.jpg,ok
161,5 hrs/PXL_20260823_201818171.jpg,ok
162,5 hrs/PXL_20260825_233057391.jpg,ok
163,5 hrs/PXL_20260825_233148894.jpg,ok
164,5 hrs/PXL_20260825_233301938.jpg,ok
165,5 hrs/PXL_20260825_233411028.jpg,ok
166,5 hrs/PXL_20260825_233505708.jpg,ok
167,5 hrs/PXL_20260825_233941678.jpg,ok
168,5.5 hrs/PXL_20260823_204302359.jpg,ok
169,5.5 hrs/PXL_20260823_204341105.jpg,ok
170,5.5 hrs/PXL_20260823_204427978.jpg,ok
171,5.5 hrs/PXL_20260823_204520988.jpg,ok
172,5.5 hrs/PXL_20260823_204607136.jpg,ok
173,5.5 hrs/PXL_20260823_204643680.jpg,ok
174,5.5 hrs/PXL_20260823_204723794.jpg,ok
175,5.5 hrs/PXL_20260823_204836846.jpg,ok
176,5.5 hrs/PXL_20260826_000422112.jpg,ok
177,5.5 hrs/PXL_20260826_000531554.jpg,ok
178,5.5 hrs/PXL_20260826_000612985.jpg,ok
179,5.5 hrs/PXL_20260826_000718562.jpg,ok
180,5.5 hrs/PXL_20260826_000906602.jpg,ok
181,5.5 hrs/PXL_20260826_001008777.jpg,ok
182,6 hrs/PXL_20260823_211237541.jpg,ok
183,6 hrs/PXL_20260823_211320215.jpg,ok
184,6 hrs/PXL_20260823_211401085.jpg,ok
185,6 hrs/PXL_20260823_211437731.jpg,ok
186,6 hrs/PXL_20260823_211516087.jpg,ok
187,6 hrs/PXL_20260823_211552028.jpg,ok
188,6 hrs/PXL_20260823_211633548.jpg,ok
189,6 hrs/PXL_20260823_211722633.jpg,ok
190,6 hrs/PXL_20260826_003845200.jpg,ok
191,6 hrs/PXL_20260826_003946096.jpg,ok
192,6 hrs/PXL_20260826_004044034.jpg,ok
193,6 hrs/PXL_20260826_004237890.jpg,ok
194,6 hrs/PXL_20260826_004432729.jpg,ok
195,6 hrs/PXL_20260826_004600641.jpg,ok
