geometry,perturb,idx,series,coating,arm,t,centroid_mag,d90_mag,nav_index
colour,False,19,COOH_S3,COOH,small,0.0,1.0510259935302486,2.175915873041847,0.153821248774188
colour,False,20,PEG_control,PEG,control,0.0,1.4076489534350922,2.8109277639661188,0.1705639940289004
colour,False,21,COOH_control,COOH,control,0.0,0.952209897035502,2.044608872928294,-0.0506210762124505
colour,False,22,PEG_L3,PEG,large,0.0,1.554477823212981,3.216438381520009,0.5935442784537351
colour,False,23,PEG_S3,PEG,small,0.0,1.006970746161443,2.0720189482961224,0.2140506275580258
colour,False,24,COOH_L3,COOH,large,0.0,1.4804097823964075,3.042325231897802,0.4016181568110444
colour,False,25,COOH_S3,COOH,small,0.0,1.058503922378357,2.226357358188754,0.1813038813443253
colour,False,26,PEG_control,PEG,control,0.0,1.3199431722551995,2.606807282316293,-0.0972072526102519
colour,False,27,COOH_control,COOH,control,0.0,0.8500771959464078,1.9817925090851816,0.0526294960049288
colour,False,28,PEG_L1,PEG,large,0.5,1.477624898198224,3.326721358257872,0.5565529773793421
colour,False,29,PEG_L2,PEG,large,0.5,1.111302380284538,2.951884046494664,0.7977615723435048
colour,False,30,PEG_S1,PEG,small,0.5,0.667250934601109,1.7865760938767037,0.3655824152086757
colour,False,31,PEG_S2,PEG,small,0.5,1.4580914413450037,3.0583207686508613,-0.0533599851250558
colour,False,32,COOH_L1,COOH,large,0.5,1.118165030723708,2.626409033517598,0.2450776964393588
colour,False,33,COOH_L2,COOH,large,0.5,0.9870186454245848,2.562986132630927,0.7512831329383625
colour,False,34,COOH_S1,COOH,small,0.5,0.6824690445349025,1.4728008828885524,0.3540829530329106
colour,False,35,COOH_S2,COOH,small,0.5,0.7850928673466494,2.160442217842021,0.6509272960439412
colour,False,36,PEG_L3,PEG,large,0.5,1.497518181836032,3.2098932687832247,0.7300427103865209
colour,False,37,PEG_S3,PEG,small,0.5,0.9285658594440066,2.0854293561940556,0.3326543257242186
colour,False,38,COOH_L3,COOH,large,0.5,1.3093051281773915,3.0176018429297797,0.7300743455865205
colour,False,39,COOH_S3,COOH,small,0.5,0.9013615467084805,2.1603847472780497,0.3596002482698903
colour,False,40,PEG_control,PEG,control,0.5,1.204456891852937,2.4568069293830614,-0.099100305576257
colour,False,41,COOH_control,COOH,control,0.5,0.7869026086348646,1.9138936455120923,0.1275541165526682
colour,False,42,PEG_L1,PEG,large,1.0,1.3834266177734995,3.230153395647629,0.713573468188513
colour,False,43,PEG_L2,PEG,large,1.0,1.207816318815734,2.907224137584937,0.858959239312725
colour,False,44,PEG_S1,PEG,small,1.0,0.6860163671351174,1.7368051110826652,0.4898509633675034
colour,False,45,PEG_S2,PEG,small,1.0,1.4098358436352203,3.023377790470345,0.0903334998761581
colour,False,46,COOH_L1,COOH,large,1.0,1.1913394396706227,3.014873363197795,0.7672596437774836
colour,False,47,COOH_L2,COOH,large,1.0,1.0452976410170447,2.445542063852323,0.8117285622544691
colour,False,48,COOH_S1,COOH,small,1.0,0.7490016086335548,1.6059431298236675,0.5317727909551478
colour,False,49,COOH_S2,COOH,small,1.0,0.8382541122017471,2.1647890332303845,0.7555002383317763
colour,False,50,PEG_L3,PEG,large,1.0,1.3647951077500782,3.090382933344099,0.821530655746442
colour,False,51,PEG_S3,PEG,small,1.0,0.8621673517030372,2.117733464701851,0.4631277145501608
colour,False,52,COOH_L3,COOH,large,1.0,1.2312878926199424,2.8654659424934255,0.8412938928605604
colour,False,53,COOH_S3,COOH,small,1.0,0.8465938518584595,2.080276988295678,0.4536392735343446
colour,False,54,PEG_control,PEG,control,1.0,1.16857142856254,2.4145254493598487,-0.048519516635754
colour,False,55,COOH_control,COOH,control,1.0,0.7266609974711575,1.836128765102166,0.1817599094945107
colour,False,56,PEG_L1,PEG,large,1.5,1.4707126852553698,3.2538455224923166,0.7579316316423859
colour,False,57,PEG_L2,PEG,large,1.5,1.3731025163138908,3.066563656020425,0.8465306978862875
colour,False,58,PEG_S1,PEG,small,1.5,0.8237475923730521,1.994972884193669,0.5116176246076735
colour,False,59,PEG_S2,PEG,small,1.5,1.4538550850771703,3.1228107375534817,0.0433334446660216
colour,False,60,COOH_L1,COOH,large,1.5,1.1202548867198272,2.559284915401449,0.6580932435472138
colour,False,61,COOH_L2,COOH,large,1.5,1.2420483997716911,2.727041660362133,0.831882184623186
