idx,dirt
183,0.9950658
184,0.97519267
185,1.0
186,0.93221575
187,1.0
188,0.98876095
189,0.9895833
190,0.9744582
191,1.0
192,0.98602486
193,0.94627196
194,0.90618765
195,0.96681637
196,0.9761513
197,0.93413174
198,1.0
199,0.9972588
200,0.97971493
201,1.0
202,0.98249507
203,1.0
204,0.9896801
205,0.99808115
206,0.9076846
207,0.9765469
208,0.97341007
209,0.95367324
210,0.91541916
211,0.91611844
212,0.90570176
213,0.9073465
214,0.933729
215,0.8908991
216,1.0
217,1.0
218,1.0
219,0.9239022
220,0.99850297
221,0.9772954
222,0.83183634
223,0.90953946
224,0.91748905
225,0.87554824
226,0.92753625
227,0.96875
228,1.0
229,1.0
230,0.9875249
231,0.9986294
232,1.0
233,1.0
234,1.0
235,0.92105263
236,0.9051535
237,0.91474783
238,0.92082113
239,0.8996711
240,0.980597
241,1.0
242,1.0
243,0.94710577
244,1.0
245,1.0
246,0.98253495
247,0.9767964
248,0.8912176
249,0.8840461
250,0.9297862
251,0.89775217
252,0.97840446
253,1.0
254,0.91516966
255,0.9426148
256,1.0
257,1.0
258,0.66417164
259,0.9229715
260,0.92735744
261,0.98527944
262,0.9376204
263,0.90158993
264,1.0
265,1.0
266,0.98253495
267,0.94436127
268,0.9737745
269,0.93687624
270,0.875998
271,0.9872754
272,0.9044411
273,0.9177632
274,0.9377451
275,0.9449013
276,1.0
277,1.0
278,0.99251497
279,0.9975329
280,0.99945176
281,0.9972588
282,0.9997505
283,0.9992515
284,0.8892544
285,0.9270833
286,0.95199007
287,0.99226546
288,0.94250464
289,0.58742774
290,0.9199102
291,0.96357286
292,0.9453276
293,1.0
294,0.9426148
295,0.9388706
296,0.9102769
297,0.919682
298,0.99561405
299,0.94599783
300,0.8722555
301,0.88572854
302,0.96783626
303,1.0
304,0.97587717
305,0.8592814
306,1.0
307,1.0
308,0.9037829
309,0.9802632
310,0.98245615
311,0.91091007
312,0.9520285
313,1.0
314,1.0
315,0.7994012
316,1.0
317,1.0
318,0.7272954
319,1.0
320,0.87664473
321,1.0
322,0.9128289
323,0.89501095
324,1.0
325,1.0
326,1.0
327,0.7747006
328,1.0
329,1.0
330,1.0
331,0.97306144
332,0.9934935
333,1.0
334,0.99917763
335,0.99945176
336,1.0
337,1.0
338,1.0
339,0.85404193
340,1.0
341,0.99451756
342,0.634481
343,0.6946108
344,0.9660088
345,1.0
346,0.90843314
347,0.77275217
348,1.0
349,1.0
350,0.9087171
351,1.0
352,0.97337276
353,1.0
354,0.93662673
355,0.92465067
356,0.98766446
357,0.9221557
358,0.9987525
359,0.8045504
360,0.8207237
361,0.8917215
362,0.89775217
363,0.83141446
364,0.9627193
365,0.6469561
366,0.9254386
367,0.96007985
368,0.9426148
369,1.0
370,0.9769737
371,0.9986294
372,0.83004385
373,0.86027944
374,0.7664671
375,0.7492515
376,0.8243513
377,0.80564696
378,1.0
379,0.9738024
380,0.94462717
381,1.0
382,0.93914473
383,1.0
384,0.9225413
385,0.72971016
386,0.90570176
387,0.8542304
388,0.94781685
389,0.95860744
390,1.0
391,0.98554915
392,0.94983554
393,1.0
394,0.9846491
395,1.0
396,0.91361254
397,0.85833335
398,0.93311405
399,0.8881579
400,0.83497804
401,0.85882676
402,1.0
403,1.0
404,0.8088108
406,0.9258982
407,0.9513473
408,0.9079861
409,0.8293413
410,0.95614034
411,0.8702919
412,0.8867873
413,0.7853618
414,0.9550342
415,0.9964364
416,0.79397476
417,1.0
418,0.955318
419,0.85723513
420,0.9071869
421,0.8316886
422,1.0
423,0.75328946
424,0.7294408
425,0.9495614
426,1.0
427,0.9972588
428,1.0
429,1.0
430,0.9098136
431,0.8516378
432,0.8605016
433,0.9678457
434,0.984375
435,0.8892544
436,1.0
437,0.82127196
438,0.74023616
439,0.48909885
440,0.6016996
441,0.9455399
442,0.8840461
443,1.0
444,0.8567708
446,0.99013156
447,0.7814371
448,0.87417763
449,0.95888156
450,0.90543914
451,1.0
452,1.0
453,0.87171054
454,1.0
455,0.99945176
456,0.99698466
457,0.9947917
458,0.96162283
459,0.91412604
460,1.0
461,1.0
462,0.88348305
463,0.7727046
464,1.0
465,1.0
466,1.0
467,0.9555921
468,0.85753495
469,0.8451206
470,1.0
471,0.9925987
472,0.90653497
473,0.98578995
474,0.81611776
475,0.8657685
476,0.9934211
477,1.0
478,1.0
479,1.0
480,0.9169408
481,0.99561405
482,0.9997259
483,1.0
484,0.91142714
485,0.9495549
486,0.755988
487,0.81037927
488,0.97724783
489,1.0
490,1.0
491,0.83251095
492,0.91242516
493,0.884481
494,0.99467057
495,0.99314696
496,0.88514256
497,0.93397623
498,0.75050503
499,0.7911677
500,1.0
501,0.9495614
502,0.840379
503,0.90893215
504,0.88947105
505,0.86052895
506,0.98663753
507,1.0
508,0.87549603
509,0.93762326
510,0.8008982
511,0.8873166
512,0.93558115
513,0.8341557
514,0.81586826
515,0.96025217
516,0.8807385
517,1.0
518,0.98903507
519,0.9917763
520,1.0
521,1.0
522,0.90893215
523,0.8849581
524,0.96189696
525,0.9270833
526,0.88248503
527,0.81811374
528,0.9011976
529,1.0
530,0.9939438
531,1.0
532,0.8988821
533,1.0
534,0.953125
535,0.95873016
536,0.9882127
537,0.94188595
538,0.8777412
539,0.8213573
540,1.0
541,1.0
542,0.9997259
543,1.0
544,0.9986294
545,0.9989035
546,0.78892213
547,0.6479541
548,0.9246162
549,0.96189696
550,0.86951095
551,0.8206088
552,1.0
553,1.0
554,1.0
555,0.99698466
556,1.0
557,0.99150217
558,0.7779441
559,1.0
560,0.9895833
561,1.0
562,0.9281798
563,0.96683115
564,0.88997006
565,1.0
566,1.0
567,1.0
568,0.9994856
569,1.0
570,0.974359
571,1.0
572,0.89226973
573,0.9520285
574,0.89144737
575,0.8465569
576,0.72306913
577,1.0
578,1.0
579,0.99917763
580,1.0
581,0.99533993
582,0.91639256
583,0.6766467
584,0.88596493
585,0.95860744
586,0.9169162
587,0.8465569
588,1.0
589,0.92165667
590,1.0
591,0.9421102
592,0.9981598
593,0.9207785
594,0.8495509
595,0.83607787
596,0.93558115
597,0.9361294
598,0.8829496
599,0.9209082
