idx,ok,gap_vertical,gap_frac,series,t,date
118,True,True,0.5416666666666666,COOH_S1,3.5,2026-08-23
119,True,True,0.5375,COOH_S2,3.5,2026-08-23
120,True,True,0.5229166666666667,PEG_L3,3.5,2026-08-25
121,True,True,0.5354166666666667,PEG_S3,3.5,2026-08-25
122,True,True,0.5375,COOH_L3,3.5,2026-08-25
123,True,True,0.5208333333333334,COOH_S3,3.5,2026-08-25
124,True,True,0.49375,PEG_control,3.5,2026-08-25
125,True,True,0.475,COOH_control,3.5,2026-08-25
126,True,True,0.51875,PEG_L1,4.0,2026-08-23
127,True,True,0.6375,PEG_L2,4.0,2026-08-23
128,True,True,0.50625,PEG_S1,4.0,2026-08-23
129,True,True,0.9145833333333333,PEG_S2,4.0,2026-08-23
130,True,True,0.5395833333333333,COOH_L1,4.0,2026-08-23
131,True,False,0.15625,COOH_L2,4.0,2026-08-23
132,True,True,0.5479166666666667,COOH_S1,4.0,2026-08-23
133,True,True,0.5458333333333333,COOH_S2,4.0,2026-08-23
134,True,True,0.5166666666666667,PEG_L3,4.0,2026-08-25
135,True,True,0.9145833333333333,PEG_S3,4.0,2026-08-25
136,True,True,0.5166666666666667,COOH_L3,4.0,2026-08-25
137,True,True,0.5208333333333334,COOH_S3,4.0,2026-08-25
138,True,True,0.5,PEG_control,4.0,2026-08-25
139,True,True,0.49375,COOH_control,4.0,2026-08-25
140,True,True,0.5666666666666667,PEG_L1,4.5,2026-08-23
141,True,True,0.5416666666666666,PEG_L2,4.5,2026-08-23
142,True,True,0.5229166666666667,PEG_S1,4.5,2026-08-23
143,True,True,0.9145833333333333,PEG_S2,4.5,2026-08-23
144,True,True,0.58125,COOH_L1,4.5,2026-08-23
145,True,True,0.53125,COOH_L2,4.5,2026-08-23
146,True,True,0.6229166666666667,COOH_S1,4.5,2026-08-23
147,True,True,0.5270833333333333,COOH_S2,4.5,2026-08-23
148,True,True,0.5208333333333334,PEG_L3,4.5,2026-08-25
149,True,True,0.5291666666666667,PEG_S3,4.5,2026-08-25
150,True,True,0.5229166666666667,COOH_L3,4.5,2026-08-25
151,True,True,0.5291666666666667,COOH_S3,4.5,2026-08-25
152,True,True,0.5083333333333333,PEG_control,4.5,2026-08-25
