path,timepoint_hr,capture_time,shot_order,gap_s
2.5 hrs/PXL_20260823_174334319.jpg,2.5,2026-08-23 17:43:34.319,1,
2.5 hrs/PXL_20260823_174411202.jpg,2.5,2026-08-23 17:44:11.202,2,36.883
2.5 hrs/PXL_20260823_174451400.jpg,2.5,2026-08-23 17:44:51.400,3,40.198
2.5 hrs/PXL_20260823_174536846.jpg,2.5,2026-08-23 17:45:36.846,4,45.446
2.5 hrs/PXL_20260823_174614849.jpg,2.5,2026-08-23 17:46:14.849,5,38.003
2.5 hrs/PXL_20260823_174648816.jpg,2.5,2026-08-23 17:46:48.816,6,33.967
2.5 hrs/PXL_20260823_174734796.jpg,2.5,2026-08-23 17:47:34.796,7,45.98
2.5 hrs/PXL_20260823_174824838.jpg,2.5,2026-08-23 17:48:24.838,8,50.042
2.5 hrs/PXL_20260825_210124330.jpg,2.5,2026-08-25 21:01:24.330,9,184379.492
2.5 hrs/PXL_20260825_210158161.jpg,2.5,2026-08-25 21:01:58.161,10,33.831
2.5 hrs/PXL_20260825_210228982.jpg,2.5,2026-08-25 21:02:28.982,11,30.821
2.5 hrs/PXL_20260825_210317264.jpg,2.5,2026-08-25 21:03:17.264,12,48.282
2.5 hrs/PXL_20260825_210350885.jpg,2.5,2026-08-25 21:03:50.885,13,33.621
2.5 hrs/PXL_20260825_210426988.jpg,2.5,2026-08-25 21:04:26.988,14,36.103
3 hrs/PXL_20260823_181311181.jpg,3.0,2026-08-23 18:13:11.181,1,
3 hrs/PXL_20260823_181358774.jpg,3.0,2026-08-23 18:13:58.774,2,47.593
3 hrs/PXL_20260823_181435351.jpg,3.0,2026-08-23 18:14:35.351,3,36.577
3 hrs/PXL_20260823_181521250.jpg,3.0,2026-08-23 18:15:21.250,4,45.899
3 hrs/PXL_20260823_181610715.jpg,3.0,2026-08-23 18:16:10.715,5,49.465
3 hrs/PXL_20260823_181702166.jpg,3.0,2026-08-23 18:17:02.166,6,51.451
3 hrs/PXL_20260823_181739773.jpg,3.0,2026-08-23 18:17:39.773,7,37.607
3 hrs/PXL_20260823_181811812.jpg,3.0,2026-08-23 18:18:11.812,8,32.039
3 hrs/PXL_20260825_213050614.jpg,3.0,2026-08-25 21:30:50.614,9,184358.802
3 hrs/PXL_20260825_213144442.jpg,3.0,2026-08-25 21:31:44.442,10,53.828
3 hrs/PXL_20260825_213221181.jpg,3.0,2026-08-25 21:32:21.181,11,36.739
3 hrs/PXL_20260825_213328285.jpg,3.0,2026-08-25 21:33:28.285,12,67.104
3 hrs/PXL_20260825_213355570.jpg,3.0,2026-08-25 21:33:55.570,13,27.285
3 hrs/PXL_20260825_213431870.jpg,3.0,2026-08-25 21:34:31.870,14,36.3
3.5 hrs/PXL_20260823_184259676.jpg,3.5,2026-08-23 18:42:59.676,1,
3.5 hrs/PXL_20260823_184407442.jpg,3.5,2026-08-23 18:44:07.442,2,67.766
3.5 hrs/PXL_20260823_184445379.jpg,3.5,2026-08-23 18:44:45.379,3,37.937
3.5 hrs/PXL_20260823_184532607.jpg,3.5,2026-08-23 18:45:32.607,4,47.228
3.5 hrs/PXL_20260823_184617190.jpg,3.5,2026-08-23 18:46:17.190,5,44.583
3.5 hrs/PXL_20260823_184655115.jpg,3.5,2026-08-23 18:46:55.115,6,37.925
3.5 hrs/PXL_20260823_184741158.jpg,3.5,2026-08-23 18:47:41.158,7,46.043
3.5 hrs/PXL_20260823_184828427.jpg,3.5,2026-08-23 18:48:28.427,8,47.269
3.5 hrs/PXL_20260825_220423371.jpg,3.5,2026-08-25 22:04:23.371,9,184554.944
3.5 hrs/PXL_20260825_220543899.jpg,3.5,2026-08-25 22:05:43.899,10,80.528
3.5 hrs/PXL_20260825_220707790.jpg,3.5,2026-08-25 22:07:07.790,11,83.891
3.5 hrs/PXL_20260825_220908353.jpg,3.5,2026-08-25 22:09:08.353,12,120.563
3.5 hrs/PXL_20260825_221019426.jpg,3.5,2026-08-25 22:10:19.426,13,71.073
3.5 hrs/PXL_20260825_221109664.jpg,3.5,2026-08-25 22:11:09.664,14,50.238
4 hrs/PXL_20260823_191313997.jpg,4.0,2026-08-23 19:13:13.997,1,
4 hrs/PXL_20260823_191409516.jpg,4.0,2026-08-23 19:14:09.516,2,55.519
4 hrs/PXL_20260823_191447874.jpg,4.0,2026-08-23 19:14:47.874,3,38.358
4 hrs/PXL_20260823_191521136.jpg,4.0,2026-08-23 19:15:21.136,4,33.262
4 hrs/PXL_20260823_191603140.jpg,4.0,2026-08-23 19:16:03.140,5,42.004
4 hrs/PXL_20260823_191644137.jpg,4.0,2026-08-23 19:16:44.137,6,40.997
4 hrs/PXL_20260823_191724851.jpg,4.0,2026-08-23 19:17:24.851,7,40.714
4 hrs/PXL_20260823_191809378.jpg,4.0,2026-08-23 19:18:09.378,8,44.527
4 hrs/PXL_20260825_223414743.jpg,4.0,2026-08-25 22:34:14.743,9,184565.365
4 hrs/PXL_20260825_223530021.jpg,4.0,2026-08-25 22:35:30.021,10,75.278
4 hrs/PXL_20260825_223630923.jpg,4.0,2026-08-25 22:36:30.923,11,60.902
4 hrs/PXL_20260825_223731635.jpg,4.0,2026-08-25 22:37:31.635,12,60.712
4 hrs/PXL_20260825_223834124.jpg,4.0,2026-08-25 22:38:34.124,13,62.489
4 hrs/PXL_20260825_224022794.jpg,4.0,2026-08-25 22:40:22.794,14,108.67
4.5 hrs /PXL_20260823_194330941.jpg,4.5,2026-08-23 19:43:30.941,1,
4.5 hrs /PXL_20260823_194401935.jpg,4.5,2026-08-23 19:44:01.935,2,30.994
4.5 hrs /PXL_20260823_194449573.jpg,4.5,2026-08-23 19:44:49.573,3,47.638
4.5 hrs /PXL_20260823_194526797.jpg,4.5,2026-08-23 19:45:26.797,4,37.224
4.5 hrs /PXL_20260823_194626347.jpg,4.5,2026-08-23 19:46:26.347,5,59.55
4.5 hrs /PXL_20260823_194714124.jpg,4.5,2026-08-23 19:47:14.124,6,47.777
4.5 hrs /PXL_20260823_194821127.jpg,4.5,2026-08-23 19:48:21.127,7,67.003
4.5 hrs /PXL_20260823_194857068.jpg,4.5,2026-08-23 19:48:57.068,8,35.941
4.5 hrs /PXL_20260825_230402647.jpg,4.5,2026-08-25 23:04:02.647,9,184505.579
4.5 hrs /PXL_20260825_230526729.jpg,4.5,2026-08-25 23:05:26.729,10,84.082
4.5 hrs /PXL_20260825_230623543.jpg,4.5,2026-08-25 23:06:23.543,11,56.814
4.5 hrs /PXL_20260825_230725193.jpg,4.5,2026-08-25 23:07:25.193,12,61.65
4.5 hrs /PXL_20260825_230826628.jpg,4.5,2026-08-25 23:08:26.628,13,61.435
4.5 hrs /PXL_20260825_230942641.jpg,4.5,2026-08-25 23:09:42.641,14,76.013
5 hrs/PXL_20260823_201208958.jpg,5.0,2026-08-23 20:12:08.958,1,
5 hrs/PXL_20260823_201245183.jpg,5.0,2026-08-23 20:12:45.183,2,36.225
5 hrs/PXL_20260823_201345739.jpg,5.0,2026-08-23 20:13:45.739,3,60.556
5 hrs/PXL_20260823_201454726.jpg,5.0,2026-08-23 20:14:54.726,4,68.987
5 hrs/PXL_20260823_201541954.jpg,5.0,2026-08-23 20:15:41.954,5,47.228
5 hrs/PXL_20260823_201621378.jpg,5.0,2026-08-23 20:16:21.378,6,39.424
5 hrs/PXL_20260823_201720651.jpg,5.0,2026-08-23 20:17:20.651,7,59.273
5 hrs/PXL_20260823_201818171.jpg,5.0,2026-08-23 20:18:18.171,8,57.52
5 hrs/PXL_20260825_233057391.jpg,5.0,2026-08-25 23:30:57.391,9,184359.22
5 hrs/PXL_20260825_233148894.jpg,5.0,2026-08-25 23:31:48.894,10,51.503
5 hrs/PXL_20260825_233301938.jpg,5.0,2026-08-25 23:33:01.938,11,73.044
5 hrs/PXL_20260825_233411028.jpg,5.0,2026-08-25 23:34:11.028,12,69.09
5 hrs/PXL_20260825_233505708.jpg,5.0,2026-08-25 23:35:05.708,13,54.68
5 hrs/PXL_20260825_233941678.jpg,5.0,2026-08-25 23:39:41.678,14,275.97
5.5 hrs/PXL_20260823_204302359.jpg,5.5,2026-08-23 20:43:02.359,1,
5.5 hrs/PXL_20260823_204341105.jpg,5.5,2026-08-23 20:43:41.105,2,38.746
5.5 hrs/PXL_20260823_204427978.jpg,5.5,2026-08-23 20:44:27.978,3,46.873
5.5 hrs/PXL_20260823_204520988.jpg,5.5,2026-08-23 20:45:20.988,4,53.01
5.5 hrs/PXL_20260823_204607136.jpg,5.5,2026-08-23 20:46:07.136,5,46.148
5.5 hrs/PXL_20260823_204643680.jpg,5.5,2026-08-23 20:46:43.680,6,36.544
5.5 hrs/PXL_20260823_204723794.jpg,5.5,2026-08-23 20:47:23.794,7,40.114
5.5 hrs/PXL_20260823_204836846.jpg,5.5,2026-08-23 20:48:36.846,8,73.052
5.5 hrs/PXL_20260826_000422112.jpg,5.5,2026-08-26 00:04:22.112,9,184545.266
5.5 hrs/PXL_20260826_000531554.jpg,5.5,2026-08-26 00:05:31.554,10,69.442
5.5 hrs/PXL_20260826_000612985.jpg,5.5,2026-08-26 00:06:12.985,11,41.431
5.5 hrs/PXL_20260826_000718562.jpg,5.5,2026-08-26 00:07:18.562,12,65.577
5.5 hrs/PXL_20260826_000906602.jpg,5.5,2026-08-26 00:09:06.602,13,108.04
5.5 hrs/PXL_20260826_001008777.jpg,5.5,2026-08-26 00:10:08.777,14,62.175
6 hrs/PXL_20260823_211237541.jpg,6.0,2026-08-23 21:12:37.541,1,
6 hrs/PXL_20260823_211320215.jpg,6.0,2026-08-23 21:13:20.215,2,42.674
6 hrs/PXL_20260823_211401085.jpg,6.0,2026-08-23 21:14:01.085,3,40.87
6 hrs/PXL_20260823_211437731.jpg,6.0,2026-08-23 21:14:37.731,4,36.646
6 hrs/PXL_20260823_211516087.jpg,6.0,2026-08-23 21:15:16.087,5,38.356
6 hrs/PXL_20260823_211552028.jpg,6.0,2026-08-23 21:15:52.028,6,35.941
6 hrs/PXL_20260823_211633548.jpg,6.0,2026-08-23 21:16:33.548,7,41.52
6 hrs/PXL_20260823_211722633.jpg,6.0,2026-08-23 21:17:22.633,8,49.085
6 hrs/PXL_20260826_003845200.jpg,6.0,2026-08-26 00:38:45.200,9,184882.567
6 hrs/PXL_20260826_003946096.jpg,6.0,2026-08-26 00:39:46.096,10,60.896
6 hrs/PXL_20260826_004044034.jpg,6.0,2026-08-26 00:40:44.034,11,57.938
6 hrs/PXL_20260826_004237890.jpg,6.0,2026-08-26 00:42:37.890,12,113.856
6 hrs/PXL_20260826_004432729.jpg,6.0,2026-08-26 00:44:32.729,13,114.839
6 hrs/PXL_20260826_004600641.jpg,6.0,2026-08-26 00:46:00.641,14,87.912
