idx,ring_L,block_L,norm_dark
106,214.0,229.7391300201416,-15.739130020141602
107,214.0,219.1680908203125,-5.1680908203125
108,227.0,228.4014434814453,-1.4014434814453125
109,229.0,228.2384433746338,0.7615566253662109
110,227.0,224.76318359375,2.23681640625
111,230.0,229.44301414489746,0.5569858551025391
112,234.0,234.7554054260254,-0.7554054260253906
113,230.0,237.88717460632324,-7.887174606323242
114,215.0,225.4952449798584,-10.495244979858398
115,212.0,217.62238311767578,-5.622383117675781
116,207.0,233.83863258361816,-26.838632583618164
117,202.0,242.0195665359497,-40.01956653594971
118,211.0,233.30159187316895,-22.301591873168945
119,208.0,225.26336097717285,-17.26336097717285
120,225.0,237.54351043701172,-12.543510437011719
121,228.0,224.00532722473145,3.9946727752685547
122,226.0,222.5415916442871,3.4584083557128906
123,227.0,227.1850700378418,-0.18507003784179688
124,233.0,231.10382461547852,1.8961753845214844
125,227.0,233.0257053375244,-6.025705337524414
126,214.0,229.7193717956543,-15.719371795654297
127,211.0,222.35515213012695,-11.355152130126953
128,208.0,238.3160228729248,-30.316022872924805
129,203.0,237.82333183288574,-34.82333183288574
130,206.0,233.95998764038086,-27.95998764038086
131,207.0,224.0776653289795,-17.077665328979492
132,229.0,232.8045310974121,-3.8045310974121094
133,229.0,229.3436164855957,-0.3436164855957031
134,226.0,225.4242458343506,0.5757541656494141
135,230.0,228.42098808288574,1.5790119171142578
136,233.0,229.15109062194824,3.848909378051758
137,232.0,229.00596618652344,2.9940338134765625
138,202.0,227.90838241577148,-25.908382415771484
139,187.0,222.06494903564453,-35.06494903564453
140,221.0,230.02490234375,-9.02490234375
141,187.0,230.1609992980957,-43.1609992980957
142,179.0,236.2377166748047,-57.23771667480469
143,215.0,225.16518783569336,-10.16518783569336
144,212.0,237.94635009765625,-25.94635009765625
145,228.0,209.33445739746094,18.665542602539062
146,221.0,218.93851852416992,2.061481475830078
147,210.0,228.7915096282959,-18.7915096282959
148,174.0,251.23169374465942,-77.23169374465942
149,215.0,228.33910751342773,-13.339107513427734
150,233.0,234.39178848266602,-1.3917884826660156
151,203.0,231.54263496398926,-28.542634963989258
152,226.0,229.7728443145752,-3.7728443145751953
153,205.0,237.16193962097168,-32.16193962097168
154,230.0,223.57550621032715,6.424493789672852
155,206.0,237.38141250610352,-31.381412506103516
156,224.0,229.05745697021484,-5.057456970214844
157,230.0,231.6006088256836,-1.6006088256835938
158,207.0,230.00750350952148,-23.007503509521484
159,201.0,233.85749053955078,-32.85749053955078
160,229.0,229.98522567749023,-0.9852256774902344
161,198.0,235.2339572906494,-37.233957290649414
162,228.0,213.42291259765625,14.57708740234375
163,221.0,216.81437301635742,4.185626983642578
164,235.0,239.80113410949707,-4.80113410949707
165,232.0,216.76071166992188,15.239288330078125
166,227.0,229.98672676086426,-2.986726760864258
167,230.0,223.88604736328125,6.11395263671875
168,197.0,242.47250175476074,-45.47250175476074
169,202.0,240.17385005950928,-38.17385005950928
170,202.0,234.49624252319336,-32.49624252319336
171,208.0,231.3862705230713,-23.38627052307129
172,207.0,237.1267852783203,-30.126785278320312
173,218.0,238.0931053161621,-20.09310531616211
174,221.0,227.3969268798828,-6.3969268798828125
175,207.0,225.194091796875,-18.194091796875
176,232.0,213.05770874023438,18.942291259765625
177,230.0,210.9639129638672,19.036087036132812
178,226.0,239.45486450195312,-13.454864501953125
179,228.0,221.69565963745117,6.304340362548828
180,208.0,231.91020011901855,-23.910200119018555
181,196.0,237.56130027770996,-41.56130027770996
182,203.0,232.35278129577637,-29.352781295776367
183,215.0,230.65439796447754,-15.654397964477539
184,205.0,236.50354385375977,-31.503543853759766
185,203.0,236.69410705566406,-33.69410705566406
186,226.0,233.61436653137207,-7.61436653137207
187,214.0,214.30170822143555,-0.3017082214355469
188,232.0,222.98454666137695,9.015453338623047
189,231.0,220.34271240234375,10.65728759765625
190,225.0,235.72380828857422,-10.723808288574219
191,228.0,212.3374900817871,15.66250991821289
192,205.0,237.9025764465332,-32.9025764465332
193,215.0,234.2070484161377,-19.207048416137695
194,201.0,236.8877944946289,-35.887794494628906
195,204.0,229.355375289917,-25.355375289916992
196,212.0,230.4511604309082,-18.451160430908203
197,207.0,238.06050300598145,-31.060503005981445
198,223.0,223.59609603881836,-0.5960960388183594
199,218.0,222.02762603759766,-4.027626037597656
200,232.0,218.1116065979004,13.88839340209961
201,230.0,211.1646385192871,18.83536148071289
202,226.0,231.26563262939453,-5.265632629394531
203,227.0,214.45455169677734,12.545448303222656
204,204.0,235.55902671813965,-31.55902671813965
205,214.0,234.80019760131836,-20.80019760131836
206,203.0,230.56195449829102,-27.561954498291016
207,205.0,226.7383098602295,-21.738309860229492
208,212.0,228.0780429840088,-16.07804298400879
209,206.0,232.29163932800293,-26.29163932800293
210,220.0,228.5124168395996,-8.51241683959961
211,208.0,216.76162719726562,-8.761627197265625
212,228.0,219.74456787109375,8.25543212890625
213,226.0,215.72628784179688,10.273712158203125
214,224.0,232.5083408355713,-8.508340835571289
215,223.0,213.92315292358398,9.076847076416016
216,207.0,230.3557834625244,-23.355783462524414
217,199.0,238.16600608825684,-39.166006088256836
218,200.0,230.99562072753906,-30.995620727539062
219,205.0,227.96590995788574,-22.965909957885742
220,210.0,238.8993377685547,-28.899337768554688
221,220.0,240.555006980896,-20.555006980895996
222,222.0,231.4965057373047,-9.496505737304688
223,226.0,224.0818157196045,1.9181842803955078
224,229.0,222.11450958251953,6.885490417480469
225,225.0,219.94707107543945,5.052928924560547
226,226.0,233.90839195251465,-7.908391952514648
227,226.0,208.64287567138672,17.35712432861328
228,209.0,227.8333034515381,-18.833303451538086
229,203.0,235.4008083343506,-32.400808334350586
230,205.0,232.007474899292,-27.007474899291992
231,208.0,224.24956130981445,-16.249561309814453
232,205.0,227.2000617980957,-22.200061798095703
233,202.0,233.9433479309082,-31.943347930908203
234,224.0,245.05514430999756,-21.05514430999756
235,221.0,220.4071044921875,0.5928955078125
236,228.0,229.1280403137207,-1.1280403137207031
237,216.0,224.14030265808105,-8.140302658081055
238,224.0,236.89621353149414,-12.89621353149414
239,224.0,219.0967674255371,4.903232574462891
240,210.0,230.3577537536621,-20.35775375366211
241,199.0,233.51170349121094,-34.51170349121094
242,205.0,233.80880546569824,-28.808805465698242
243,201.0,233.0276336669922,-32.02763366699219
244,215.0,225.52873611450195,-10.528736114501953
245,208.0,229.8897533416748,-21.889753341674805
246,215.0,244.07540893554688,-29.075408935546875
247,210.0,228.4158763885498,-18.415876388549805
248,229.0,229.8713035583496,-0.8713035583496094
249,227.0,222.12824249267578,4.871757507324219
250,224.0,234.07850074768066,-10.078500747680664
251,224.0,218.30586624145508,5.694133758544922
252,209.0,230.62548637390137,-21.625486373901367
253,201.0,233.2120532989502,-32.212053298950195
254,205.0,226.6996841430664,-21.699684143066406
255,216.0,231.65884590148926,-15.658845901489258
256,217.0,223.0479679107666,-6.047967910766602
257,219.0,231.95375061035156,-12.953750610351562
258,231.0,233.17978286743164,-2.1797828674316406
259,226.0,224.01265144348145,1.9873485565185547
260,229.0,221.15980529785156,7.8401947021484375
261,234.0,230.0183277130127,3.9816722869873047
262,225.0,234.6529541015625,-9.6529541015625
263,224.0,214.87115097045898,9.128849029541016
264,209.0,225.9446506500244,-16.944650650024414
265,206.0,230.3718032836914,-24.371803283691406
266,207.0,229.823974609375,-22.823974609375
267,215.0,229.94916152954102,-14.949161529541016
268,215.0,223.5301742553711,-8.530174255371094
269,219.0,233.22063827514648,-14.220638275146484
270,220.0,246.67445373535156,-26.674453735351562
271,208.0,224.0834903717041,-16.0834903717041
272,227.0,230.78561782836914,-3.7856178283691406
273,212.0,225.35389709472656,-13.353897094726562
274,226.0,235.13254165649414,-9.13254165649414
275,225.0,212.63568496704102,12.364315032958984
276,209.0,225.91622734069824,-16.916227340698242
