geometry,perturb,idx,series,coating,arm,t,centroid_mag,d90_mag,nav_index
repair,False,105,COOH_S2,COOH,small,3.0,1.2260466559052519,3.423280595837632,0.17031065646409135
repair,False,106,PEG_L3,PEG,large,3.0,1.6506447518660394,3.22057282456084,0.89775271900943
repair,False,107,PEG_S3,PEG,small,3.0,0.8764596190824602,1.8533054947612466,-0.21320371201644273
repair,False,108,COOH_L3,COOH,large,3.0,1.6697173769829294,3.456767509409263,0.9516853498368968
repair,False,109,COOH_S3,COOH,small,3.0,0.7289026663018682,1.73564149659864,0.6133346546025208
repair,False,110,PEG_control,PEG,control,3.0,0.8883846044538224,2.095856172113044,0.08763794088048041
repair,False,111,COOH_control,COOH,control,3.0,0.8840865207756908,1.7421887971198649,-0.6152269762778882
repair,False,112,PEG_L1,PEG,large,3.5,1.8846234803850224,3.6812051865587776,0.8976391154187631
repair,False,113,PEG_L2,PEG,large,3.5,1.9110288102824422,3.7158524756909603,0.8576196598865261
repair,False,114,PEG_S1,PEG,small,3.5,1.1395106407026494,2.5359607953253915,0.6868584438206576
repair,False,115,PEG_S2,PEG,small,3.5,1.5833408861315843,3.5974589557497185,0.7401712422250734
repair,False,116,COOH_L1,COOH,large,3.5,1.881011116741208,3.7306747424048,0.8495679432057577
repair,False,117,COOH_L2,COOH,large,3.5,1.9398052412586368,3.8571770772381515,0.8740864555845286
repair,False,118,COOH_S1,COOH,small,3.5,1.1054142317095959,2.596704504059882,0.5198384442190701
repair,False,119,COOH_S2,COOH,small,3.5,1.2850218618306413,3.3105002755073936,0.40813243092810875
repair,False,120,PEG_L3,PEG,large,3.5,1.700598509617617,3.3091697094590367,0.8660844588597892
repair,False,121,PEG_S3,PEG,small,3.5,0.8523728812750604,1.8127165431321488,-0.13741686981402032
repair,False,122,COOH_L3,COOH,large,3.5,1.6698141562177382,3.513116532405713,0.9544127703314916
repair,False,123,COOH_S3,COOH,small,3.5,0.7602170411636525,1.7122659151036295,0.625863971297155
repair,False,124,PEG_control,PEG,control,3.5,0.9663199098582611,2.1069349509707345,-0.1623406538005287
repair,False,125,COOH_control,COOH,control,3.5,0.9225421599234247,1.794078041589277,-0.6231155829701127
repair,False,126,PEG_L1,PEG,large,4.0,1.9328268339667645,3.7133378287708005,0.9074868830987365
repair,False,127,PEG_L2,PEG,large,4.0,1.9190137172954165,3.7351131794935895,0.8680980723060762
repair,False,128,PEG_S1,PEG,small,4.0,1.1889134957730625,2.767524133613378,0.7618021158286898
repair,False,129,PEG_S2,PEG,small,4.0,1.665024589541447,3.7391606511032487,0.772101342166791
repair,False,130,COOH_L1,COOH,large,4.0,1.9428164132274939,3.7764927208082852,0.84779688799451
repair,False,131,COOH_L2,COOH,large,4.0,2.082874239102177,3.9308338787334547,0.7637021693347315
repair,False,132,COOH_S1,COOH,small,4.0,1.153729509464773,2.6721419933956567,0.5000313319773267
repair,False,133,COOH_S2,COOH,small,4.0,1.2800628631101116,3.325906322137141,0.3305931866148752
repair,False,134,PEG_L3,PEG,large,4.0,1.7052739765868925,3.290143485343726,0.8975829086731328
repair,False,135,PEG_S3,PEG,small,4.0,0.8264271159934253,1.7497741390998771,-0.09736460575129614
repair,False,136,COOH_L3,COOH,large,4.0,1.860299963593024,3.6171033347838923,0.9193048092369681
repair,False,137,COOH_S3,COOH,small,4.0,0.7786496612935827,1.6940737913261437,0.7001974228048249
