series,cond,coating,bsa,control,t,asym
PEG_BSA_control,PEG_BSA,PEG,BSA,True,5.5,11.81617259979248
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,5.5,16.221275329589844
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,5.5,-7.775943756103516
COOH_BSA_control,COOH_BSA,COOH,BSA,True,5.5,-21.735286712646484
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,6.0,40.19986343383789
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,6.0,30.220046997070312
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,6.0,24.601573944091797
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,6.0,33.83465576171875
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,6.0,40.76333999633789
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,6.0,34.911869049072266
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,6.0,17.567930221557617
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,6.0,17.72806167602539
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,6.0,7.558208465576172
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,6.0,10.736156463623047
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,6.0,49.35551452636719
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,6.0,34.78704071044922
PEG_BSA_control,PEG_BSA,PEG,BSA,True,6.0,12.330765724182129
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,6.0,16.46103286743164
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,6.0,-9.242326736450195
COOH_BSA_control,COOH_BSA,COOH,BSA,True,6.0,-25.151123046875
