idx,series,ncc
231,0.4_non-BSA_COOH_magnet_r1,0.8958872556686401
243,0.4_non-BSA_COOH_magnet_r1,0.510370135307312
255,0.4_non-BSA_COOH_magnet_r1,0.5033251047134399
267,0.4_non-BSA_COOH_magnet_r1,0.4986269176006317
279,0.4_non-BSA_COOH_magnet_r1,0.8929327726364136
291,0.4_non-BSA_COOH_magnet_r1,0.9285874366760254
157,0.4_non-BSA_COOH_magnet_r2,0.7700648903846741
159,0.4_non-BSA_COOH_magnet_r2,0.779150128364563
172,0.4_non-BSA_COOH_magnet_r2,0.780041515827179
184,0.4_non-BSA_COOH_magnet_r2,0.8385854959487915
196,0.4_non-BSA_COOH_magnet_r2,0.9250696897506714
208,0.4_non-BSA_COOH_magnet_r2,0.9453314542770386
220,0.4_non-BSA_COOH_magnet_r2,0.7305201292037964
232,0.4_non-BSA_COOH_magnet_r2,0.5950933694839478
244,0.4_non-BSA_COOH_magnet_r2,0.5734496712684631
256,0.4_non-BSA_COOH_magnet_r2,0.5671890377998352
268,0.4_non-BSA_COOH_magnet_r2,0.8377108573913574
280,0.4_non-BSA_COOH_magnet_r2,0.5815538167953491
293,0.4_non-BSA_COOH_magnet_r2,0.5193738341331482
160,0.4_non-BSA_COOH_magnet_r3,0.8446627855300903
161,0.4_non-BSA_COOH_magnet_r3,0.6618496775627136
173,0.4_non-BSA_COOH_magnet_r3,0.9331265687942505
185,0.4_non-BSA_COOH_magnet_r3,0.9709644317626953
197,0.4_non-BSA_COOH_magnet_r3,0.9592769145965576
209,0.4_non-BSA_COOH_magnet_r3,0.9638617038726807
221,0.4_non-BSA_COOH_magnet_r3,0.3865692913532257
233,0.4_non-BSA_COOH_magnet_r3,0.939349353313446
245,0.4_non-BSA_COOH_magnet_r3,0.8906344175338745
257,0.4_non-BSA_COOH_magnet_r3,0.9209696650505066
269,0.4_non-BSA_COOH_magnet_r3,0.38408708572387695
281,0.4_non-BSA_COOH_magnet_r3,0.9079332947731018
292,0.4_non-BSA_COOH_magnet_r3,0.529934823513031
162,0.4_non-BSA_PEG_control_r1,0.6687585115432739
174,0.4_non-BSA_PEG_control_r1,0.8692110180854797
186,0.4_non-BSA_PEG_control_r1,0.8792548179626465
198,0.4_non-BSA_PEG_control_r1,0.8750497102737427
210,0.4_non-BSA_PEG_control_r1,0.8232283592224121
222,0.4_non-BSA_PEG_control_r1,0.8929666876792908
234,0.4_non-BSA_PEG_control_r1,0.4821060597896576
246,0.4_non-BSA_PEG_control_r1,0.6807135343551636
258,0.4_non-BSA_PEG_control_r1,0.8119242787361145
270,0.4_non-BSA_PEG_control_r1,0.8767479658126831
282,0.4_non-BSA_PEG_control_r1,0.6870632171630859
294,0.4_non-BSA_PEG_control_r1,0.6371523141860962
163,0.4_non-BSA_PEG_control_r2,0.8912367820739746
175,0.4_non-BSA_PEG_control_r2,0.5274842977523804
187,0.4_non-BSA_PEG_control_r2,0.8212795853614807
199,0.4_non-BSA_PEG_control_r2,0.5220045447349548
211,0.4_non-BSA_PEG_control_r2,0.8331621885299683
223,0.4_non-BSA_PEG_control_r2,0.8603019118309021
235,0.4_non-BSA_PEG_control_r2,0.8910751342773438
247,0.4_non-BSA_PEG_control_r2,0.5270977020263672
259,0.4_non-BSA_PEG_control_r2,0.8418378829956055
271,0.4_non-BSA_PEG_control_r2,0.8859800100326538
283,0.4_non-BSA_PEG_control_r2,0.8494805097579956
295,0.4_non-BSA_PEG_control_r2,0.8029688596725464
164,0.4_non-BSA_PEG_control_r3,0.638359546661377
176,0.4_non-BSA_PEG_control_r3,0.7829620838165283
188,0.4_non-BSA_PEG_control_r3,0.679702639579773
200,0.4_non-BSA_PEG_control_r3,0.6872011423110962
212,0.4_non-BSA_PEG_control_r3,0.6770786643028259
224,0.4_non-BSA_PEG_control_r3,0.6586776375770569
236,0.4_non-BSA_PEG_control_r3,0.8383538126945496
248,0.4_non-BSA_PEG_control_r3,0.888745903968811
260,0.4_non-BSA_PEG_control_r3,0.8875064253807068
272,0.4_non-BSA_PEG_control_r3,0.8714848756790161
284,0.4_non-BSA_PEG_control_r3,0.9031540155410767
296,0.4_non-BSA_PEG_control_r3,0.8656418323516846
150,0.4_non-BSA_PEG_magnet_r1,0.4923354983329773
151,0.4_non-BSA_PEG_magnet_r1,0.8165528774261475
168,0.4_non-BSA_PEG_magnet_r1,0.49423038959503174
180,0.4_non-BSA_PEG_magnet_r1,0.8349583148956299
192,0.4_non-BSA_PEG_magnet_r1,0.519758939743042
204,0.4_non-BSA_PEG_magnet_r1,0.5323001742362976
216,0.4_non-BSA_PEG_magnet_r1,0.9073976278305054
228,0.4_non-BSA_PEG_magnet_r1,0.9102796316146851
240,0.4_non-BSA_PEG_magnet_r1,0.5754153728485107
252,0.4_non-BSA_PEG_magnet_r1,0.567866325378418
264,0.4_non-BSA_PEG_magnet_r1,0.844943106174469
276,0.4_non-BSA_PEG_magnet_r1,0.8810200691223145
290,0.4_non-BSA_PEG_magnet_r1,0.80091392993927
152,0.4_non-BSA_PEG_magnet_r2,0.43777334690093994
153,0.4_non-BSA_PEG_magnet_r2,0.5512180924415588
169,0.4_non-BSA_PEG_magnet_r2,0.48322877287864685
181,0.4_non-BSA_PEG_magnet_r2,0.9258936643600464
193,0.4_non-BSA_PEG_magnet_r2,0.736169159412384
205,0.4_non-BSA_PEG_magnet_r2,0.7472108602523804
217,0.4_non-BSA_PEG_magnet_r2,0.931110680103302
229,0.4_non-BSA_PEG_magnet_r2,0.9306584596633911
241,0.4_non-BSA_PEG_magnet_r2,0.9236602783203125
253,0.4_non-BSA_PEG_magnet_r2,0.9441733956336975
265,0.4_non-BSA_PEG_magnet_r2,0.9625157117843628
277,0.4_non-BSA_PEG_magnet_r2,0.9066673517227173
288,0.4_non-BSA_PEG_magnet_r2,0.8169243335723877
154,0.4_non-BSA_PEG_magnet_r3,0.7883076071739197
155,0.4_non-BSA_PEG_magnet_r3,0.7586404085159302
170,0.4_non-BSA_PEG_magnet_r3,0.7767676115036011
182,0.4_non-BSA_PEG_magnet_r3,0.7091978788375854
194,0.4_non-BSA_PEG_magnet_r3,0.7431999444961548
206,0.4_non-BSA_PEG_magnet_r3,0.7502701878547668
218,0.4_non-BSA_PEG_magnet_r3,0.9123544692993164
230,0.4_non-BSA_PEG_magnet_r3,0.8807218670845032
242,0.4_non-BSA_PEG_magnet_r3,0.8058276772499084
254,0.4_non-BSA_PEG_magnet_r3,0.9249817728996277
266,0.4_non-BSA_PEG_magnet_r3,0.923523485660553
278,0.4_non-BSA_PEG_magnet_r3,0.8064913749694824
289,0.4_non-BSA_PEG_magnet_r3,0.8477004170417786
315,0.6_BSA_COOH_control_r1,0.9342385530471802
327,0.6_BSA_COOH_control_r1,0.9394712448120117
339,0.6_BSA_COOH_control_r1,0.5529687404632568
351,0.6_BSA_COOH_control_r1,0.2282138466835022
365,0.6_BSA_COOH_control_r1,0.6021181344985962
375,0.6_BSA_COOH_control_r1,0.8938246369361877
388,0.6_BSA_COOH_control_r1,0.5005902647972107
399,0.6_BSA_COOH_control_r1,0.8688265681266785
411,0.6_BSA_COOH_control_r1,0.3608514964580536
423,0.6_BSA_COOH_control_r1,0.5967406630516052
435,0.6_BSA_COOH_control_r1,0.8727608919143677
447,0.6_BSA_COOH_control_r1,0.6910301446914673
316,0.6_BSA_COOH_control_r2,0.9316308498382568
328,0.6_BSA_COOH_control_r2,0.9610760807991028
340,0.6_BSA_COOH_control_r2,0.41437196731567383
352,0.6_BSA_COOH_control_r2,-0.2726803421974182
363,0.6_BSA_COOH_control_r2,0.9729808568954468
376,0.6_BSA_COOH_control_r2,0.9761713743209839
387,0.6_BSA_COOH_control_r2,0.7871673703193665
400,0.6_BSA_COOH_control_r2,0.9706915616989136
412,0.6_BSA_COOH_control_r2,0.659605860710144
424,0.6_BSA_COOH_control_r2,0.9670212864875793
436,0.6_BSA_COOH_control_r2,0.347850501537323
448,0.6_BSA_COOH_control_r2,0.455885112285614
317,0.6_BSA_COOH_control_r3,0.44574955105781555
329,0.6_BSA_COOH_control_r3,0.9578697681427002
341,0.6_BSA_COOH_control_r3,0.9793092012405396
353,0.6_BSA_COOH_control_r3,0.39131319522857666
364,0.6_BSA_COOH_control_r3,0.9859758615493774
377,0.6_BSA_COOH_control_r3,0.9808506369590759
389,0.6_BSA_COOH_control_r3,0.5183171033859253
401,0.6_BSA_COOH_control_r3,0.9854961037635803
413,0.6_BSA_COOH_control_r3,0.9855651259422302
425,0.6_BSA_COOH_control_r3,0.4243887662887573
437,0.6_BSA_COOH_control_r3,0.9838283061981201
449,0.6_BSA_COOH_control_r3,0.5238748788833618
310,0.6_BSA_COOH_magnet_r1,0.4869862198829651
321,0.6_BSA_COOH_magnet_r1,0.9354357123374939
333,0.6_BSA_COOH_magnet_r1,0.9524398446083069
345,0.6_BSA_COOH_magnet_r1,0.7733436822891235
357,0.6_BSA_COOH_magnet_r1,0.6124714016914368
369,0.6_BSA_COOH_magnet_r1,0.8737815022468567
381,0.6_BSA_COOH_magnet_r1,0.33207717537879944
393,0.6_BSA_COOH_magnet_r1,0.9035519361495972
417,0.6_BSA_COOH_magnet_r1,0.22861915826797485
429,0.6_BSA_COOH_magnet_r1,0.8098849058151245
441,0.6_BSA_COOH_magnet_r1,0.83918696641922
306,0.6_BSA_COOH_magnet_r2,0.5054202675819397
307,0.6_BSA_COOH_magnet_r2,0.8668034076690674
311,0.6_BSA_COOH_magnet_r2,0.5494535565376282
322,0.6_BSA_COOH_magnet_r2,0.7836562395095825
334,0.6_BSA_COOH_magnet_r2,0.7032194137573242
346,0.6_BSA_COOH_magnet_r2,0.8804630637168884
358,0.6_BSA_COOH_magnet_r2,0.3400002717971802
370,0.6_BSA_COOH_magnet_r2,0.7420727014541626
382,0.6_BSA_COOH_magnet_r2,0.9162618517875671
394,0.6_BSA_COOH_magnet_r2,0.932343065738678
406,0.6_BSA_COOH_magnet_r2,0.7790744304656982
418,0.6_BSA_COOH_magnet_r2,0.8057333827018738
430,0.6_BSA_COOH_magnet_r2,0.309190034866333
442,0.6_BSA_COOH_magnet_r2,0.7673734426498413
308,0.6_BSA_COOH_magnet_r3,0.560452401638031
309,0.6_BSA_COOH_magnet_r3,0.7262793183326721
323,0.6_BSA_COOH_magnet_r3,0.5110504031181335
