t,arm,agarose,bsa,coating,gap_b,mid_b,right_b
21.5,magnet,0.4,BSA,PEG,9.0,9.0,8.0
21.5,magnet,0.4,BSA,COOH,2.0,7.0,0.0
21.5,magnet,0.4,BSA,COOH,18.0,10.0,6.0
21.5,magnet,0.4,BSA,COOH,10.0,14.0,10.0
21.5,control,0.4,BSA,PEG,21.0,7.0,7.0
21.5,control,0.4,BSA,PEG,15.0,11.0,13.0
21.5,control,0.4,BSA,PEG,21.0,13.0,15.0
21.5,control,0.4,BSA,COOH,17.0,9.0,9.0
21.5,control,0.4,BSA,COOH,2.0,8.0,7.0
0.0,magnet,0.4,non-BSA,PEG,2.0,5.0,3.0
0.0,magnet,0.4,non-BSA,PEG,1.0,5.0,4.0
0.0,magnet,0.4,non-BSA,PEG,3.0,6.0,7.0
0.0,magnet,0.4,non-BSA,PEG,2.0,5.0,5.0
0.0,magnet,0.4,non-BSA,COOH,4.0,4.0,3.0
0.0,magnet,0.4,non-BSA,COOH,0.0,5.0,5.0
0.0,magnet,0.4,non-BSA,COOH,8.0,5.0,-2.0
0.0,control,0.4,non-BSA,PEG,8.0,6.0,8.0
0.0,control,0.4,non-BSA,PEG,3.0,4.0,4.0
0.0,control,0.4,non-BSA,PEG,2.0,7.0,8.0
0.0,control,0.4,non-BSA,COOH,5.0,4.0,6.0
0.0,control,0.4,non-BSA,COOH,5.0,5.0,5.0
0.0,control,0.4,non-BSA,COOH,2.0,7.0,7.0
1.0,magnet,0.4,non-BSA,PEG,-1.0,4.0,4.0
1.0,magnet,0.4,non-BSA,PEG,-1.0,5.0,5.0
1.0,magnet,0.4,non-BSA,PEG,1.0,4.0,4.0
1.0,magnet,0.4,non-BSA,COOH,7.0,5.0,5.0
1.0,magnet,0.4,non-BSA,COOH,0.0,6.0,6.0
1.0,magnet,0.4,non-BSA,COOH,12.0,7.0,7.0
1.0,control,0.4,non-BSA,PEG,1.0,6.0,8.0
1.0,control,0.4,non-BSA,PEG,-3.0,4.0,4.0
1.0,control,0.4,non-BSA,PEG,9.0,7.0,7.0
1.0,control,0.4,non-BSA,COOH,7.0,5.0,7.0
1.0,control,0.4,non-BSA,COOH,4.0,7.0,6.0
1.0,control,0.4,non-BSA,COOH,1.0,7.0,7.0
2.0,magnet,0.4,non-BSA,PEG,4.0,6.0,6.0
2.0,magnet,0.4,non-BSA,PEG,5.0,5.0,5.0
2.0,magnet,0.4,non-BSA,PEG,4.0,6.0,6.0
2.0,magnet,0.4,non-BSA,COOH,14.0,8.0,8.0
2.0,magnet,0.4,non-BSA,COOH,2.0,6.0,6.0
2.0,magnet,0.4,non-BSA,COOH,11.0,7.0,8.0
2.0,control,0.4,non-BSA,PEG,3.0,8.0,8.0
2.0,control,0.4,non-BSA,PEG,6.0,6.0,6.0
2.0,control,0.4,non-BSA,PEG,3.0,10.0,8.0
2.0,control,0.4,non-BSA,COOH,3.0,7.0,7.0
2.0,control,0.4,non-BSA,COOH,5.0,11.0,8.0
2.0,control,0.4,non-BSA,COOH,10.0,7.0,7.0
3.0,magnet,0.4,non-BSA,PEG,1.0,7.0,5.0
3.0,magnet,0.4,non-BSA,PEG,5.0,6.0,7.0
